Timestamp,miners-revenue
2019-09-01 00:00:00,17386554.1806439
2019-09-02 00:00:00,19567794.8424031
2019-09-03 00:00:00,22232234.965443
2019-09-04 00:00:00,18375693.837806
2019-09-05 00:00:00,22456931.6286019
2019-09-06 00:00:00,21464687.5948385
2019-09-07 00:00:00,20094042.8606613
2019-09-08 00:00:00,23644815.6797411
2019-09-09 00:00:00,19160369.4909431
2019-09-10 00:00:00,23662199.3205437
2019-09-11 00:00:00,23997270.4992307
2019-09-12 00:00:00,20481339.8621805
2019-09-13 00:00:00,19643241.8545153
2019-09-14 00:00:00,20523303.2794348
2019-09-15 00:00:00,19411747.0473599
2019-09-16 00:00:00,21460937.0914746
2019-09-17 00:00:00,19262723.365071
2019-09-18 00:00:00,22533478.5270288
2019-09-19 00:00:00,19373703.7112655
2019-09-20 00:00:00,19539823.5858986
2019-09-21 00:00:00,21079948.1168425
2019-09-22 00:00:00,21169975.568586
2019-09-23 00:00:00,14647183.7982298
2019-09-24 00:00:00,19220354.7854656
2019-09-25 00:00:00,17222704.4025811
2019-09-26 00:00:00,18142040.4350672
2019-09-27 00:00:00,13731933.7325467
2019-09-28 00:00:00,16399123.5708253
2019-09-29 00:00:00,14292283.4733979
2019-09-30 00:00:00,13436667.5184307
2019-10-01 00:00:00,15347785.3282141
2019-10-02 00:00:00,15983802.9460234
2019-10-03 00:00:00,15446657.0071901
2019-10-04 00:00:00,15198779.2000248
2019-10-05 00:00:00,16377861.1718337
2019-10-06 00:00:00,15379216.3300375
2019-10-07 00:00:00,15743886.0120569
2019-10-08 00:00:00,17060959.4496355
2019-10-09 00:00:00,14626389.9733706
2019-10-10 00:00:00,17831123.6787614
2019-10-11 00:00:00,17060812.1042193
2019-10-12 00:00:00,14021139.9221787
2019-10-13 00:00:00,15185999.1606783
2019-10-14 00:00:00,14628224.1898534
2019-10-15 00:00:00,16240085.9584146
2019-10-16 00:00:00,14633533.2162171
2019-10-17 00:00:00,15858419.0770184
2019-10-18 00:00:00,16329289.2152908
2019-10-19 00:00:00,14484979.8988221
2019-10-20 00:00:00,14984777.0324384
2019-10-21 00:00:00,16722180.4358311
2019-10-22 00:00:00,17496598.3543647
2019-10-23 00:00:00,17079475.3941129
2019-10-24 00:00:00,12594197.4342478
2019-10-25 00:00:00,13909079.2686761
2019-10-26 00:00:00,16769057.9170478
2019-10-27 00:00:00,13879519.9511491
2019-10-28 00:00:00,16254462.7222859
2019-10-29 00:00:00,15907595.3936571
2019-10-30 00:00:00,15935289.7344978
2019-10-31 00:00:00,15460313.802921
2019-11-01 00:00:00,15476389.7763189
2019-11-02 00:00:00,16052149.3645515
2019-11-03 00:00:00,16402669.8082591
2019-11-03 23:00:00,15941423.7726535
2019-11-04 23:00:00,17451427.0960617
2019-11-05 23:00:00,15769410.013443
2019-11-06 23:00:00,15970955.4356528
2019-11-07 23:00:00,14762408.0373763
2019-11-08 23:00:00,16111246.6162539
2019-11-09 23:00:00,18896479.028929
2019-11-10 23:00:00,16881322.7128666
2019-11-11 23:00:00,14989182.4021882
2019-11-12 23:00:00,15067619.9304147
