Timestamp,transactions-per-second
2019-08-03 22:15:00,3.83333333333333
2019-08-04 15:45:00,3.7
2019-08-05 09:15:00,4.85
2019-08-06 02:45:00,4
2019-08-06 20:15:00,3.96666666666667
2019-08-07 13:45:00,4.95
2019-08-08 07:15:00,2.7
2019-08-09 00:45:00,3.23333333333333
2019-08-09 18:15:00,3.08333333333333
2019-08-10 11:45:00,4.25
2019-08-11 05:15:00,2.73333333333333
2019-08-11 22:45:00,2.5
2019-08-12 16:15:00,4.1
2019-08-13 09:45:00,5.26666666666667
2019-08-14 03:15:00,3.73333333333333
2019-08-14 20:45:00,4.41666666666667
2019-08-15 14:15:00,4.43333333333333
2019-08-16 07:45:00,2.38333333333333
2019-08-17 01:15:00,2.88333333333333
2019-08-17 18:45:00,3.51666666666667
2019-08-18 12:15:00,3.23333333333333
2019-08-19 05:45:00,3.93333333333333
2019-08-19 23:15:00,3.46666666666667
2019-08-20 16:45:00,3.61666666666667
2019-08-21 10:15:00,4.36666666666667
2019-08-22 03:45:00,4.43333333333333
2019-08-22 21:15:00,3.11666666666667
2019-08-23 14:45:00,4.6
2019-08-24 08:15:00,2.95
2019-08-25 01:45:00,3.25
2019-08-25 19:15:00,4.56666666666667
2019-08-26 12:45:00,3.9
2019-08-27 06:15:00,2.63333333333333
2019-08-27 23:45:00,3.88333333333333
2019-08-28 17:15:00,3.78333333333333
2019-08-29 10:45:00,4.31666666666667
2019-08-30 04:15:00,4.36666666666667
2019-08-30 21:45:00,3.63333333333333
2019-08-31 15:15:00,4.75
2019-09-01 08:45:00,4.41666666666667
2019-09-02 02:15:00,4.96666666666667
2019-09-02 19:45:00,3.23333333333333
2019-09-03 13:15:00,4.4
2019-09-04 06:45:00,3.1
2019-09-05 00:15:00,3.3
2019-09-05 17:45:00,3.65
2019-09-06 11:15:00,4.7
2019-09-07 04:45:00,2.98333333333333
2019-09-07 22:15:00,4.13333333333333
2019-09-08 15:45:00,2.46666666666667
2019-09-09 09:15:00,3.76666666666667
2019-09-10 02:45:00,2.85
2019-09-10 20:15:00,4.98333333333333
2019-09-11 13:45:00,3.31666666666667
2019-09-12 07:15:00,4.13333333333333
2019-09-13 00:45:00,3.31666666666667
2019-09-13 18:15:00,3.83333333333333
2019-09-14 11:45:00,3.78333333333333
2019-09-15 05:15:00,2.51666666666667
2019-09-15 22:45:00,2.7
2019-09-16 16:15:00,5.21666666666667
2019-09-17 09:45:00,3.9
2019-09-18 03:15:00,2.65
2019-09-18 20:45:00,3.16666666666667
2019-09-19 14:15:00,4.08333333333333
2019-09-20 07:45:00,5
2019-09-21 01:15:00,2.48333333333333
2019-09-21 18:45:00,3.98333333333333
2019-09-22 12:15:00,3.86666666666667
2019-09-23 05:45:00,3.65
2019-09-23 23:15:00,2.11666666666667
2019-09-24 16:45:00,3.81666666666667
2019-09-25 10:15:00,3.11666666666667
2019-09-26 03:45:00,2.5
2019-09-26 21:15:00,4.18333333333333
