Timestamp,output-volume
2019-09-02 00:00:00,929037.873505404
2019-09-03 00:00:00,1040522.72962904
2019-09-04 00:00:00,1208245.68544858
2019-09-05 00:00:00,1242635.39094575
2019-09-06 00:00:00,1178701.69383365
2019-09-07 00:00:00,629500.820114256
2019-09-08 00:00:00,702260.154571735
2019-09-09 00:00:00,877297.908776981
2019-09-10 00:00:00,1221919.55162416
2019-09-11 00:00:00,1123456.37957047
2019-09-12 00:00:00,828541.849706542
2019-09-13 00:00:00,701970.120843471
2019-09-14 00:00:00,614511.773528669
2019-09-15 00:00:00,498570.419934237
2019-09-16 00:00:00,993133.833231407
2019-09-17 00:00:00,1147350.8940079
2019-09-18 00:00:00,865403.082340075
2019-09-19 00:00:00,758179.66775461
2019-09-20 00:00:00,874080.293790683
2019-09-21 00:00:00,726562.641094705
2019-09-22 00:00:00,1711385.00341165
2019-09-23 00:00:00,1486499.71902562
2019-09-24 00:00:00,1306425.75673371
2019-09-25 00:00:00,1647160.69227417
2019-09-26 00:00:00,1130065.40346932
2019-09-27 00:00:00,922424.486572073
2019-09-28 00:00:00,673386.538360677
2019-09-29 00:00:00,606613.635693071
2019-09-30 00:00:00,1107464.74721235
2019-10-01 00:00:00,1158740.01134524
2019-10-02 00:00:00,845513.50947988
2019-10-03 00:00:00,807516.389749268
2019-10-04 00:00:00,720385.077586688
2019-10-05 00:00:00,499826.823379352
2019-10-06 00:00:00,535585.68315319
2019-10-07 00:00:00,698133.060497983
2019-10-08 00:00:00,853284.326411053
2019-10-09 00:00:00,890109.379233644
2019-10-10 00:00:00,809342.551334509
2019-10-11 00:00:00,748859.345230277
2019-10-12 00:00:00,477082.626716422
2019-10-13 00:00:00,421940.207082645
2019-10-14 00:00:00,821209.414448708
2019-10-15 00:00:00,746628.717238315
2019-10-16 00:00:00,1044662.74960641
2019-10-17 00:00:00,1021589.2507013
2019-10-18 00:00:00,1021618.23399633
2019-10-19 00:00:00,847151.669674816
2019-10-20 00:00:00,749654.197106282
2019-10-21 00:00:00,898823.600888372
2019-10-22 00:00:00,1141325.22151377
2019-10-23 00:00:00,1334525.53652092
2019-10-24 00:00:00,1000767.06494216
2019-10-25 00:00:00,1348960.43815855
2019-10-26 00:00:00,1004810.11591243
2019-10-27 00:00:00,684000.549624474
2019-10-28 00:00:00,1944113.78990658
2019-10-29 00:00:00,1501770.91055353
2019-10-30 00:00:00,2023871.40963542
2019-10-31 00:00:00,1415879.11847805
2019-11-01 00:00:00,1253351.67495788
2019-11-02 00:00:00,845904.131541826
2019-11-03 00:00:00,827166.372659752
2019-11-03 23:00:00,949576.10641267
2019-11-04 23:00:00,1161345.32878865
2019-11-05 23:00:00,1409366.37888414
2019-11-06 23:00:00,1374073.7597232
2019-11-07 23:00:00,1333670.62974223
2019-11-08 23:00:00,1048033.15307825
2019-11-09 23:00:00,685311.161110266
2019-11-10 23:00:00,797236.585528915
2019-11-11 23:00:00,1019903.11744936
2019-11-12 23:00:00,1331117.80907882
2019-11-13 23:00:00,1216940.16732074
2019-11-14 23:00:00,1280489.90300323
2019-11-15 23:00:00,695082.440087727
2019-11-16 23:00:00,632131.464984699
2019-11-17 23:00:00,1330677.31241682
2019-11-18 23:00:00,956827.203341185
2019-11-19 23:00:00,800559.908126409
2019-11-20 23:00:00,1616533.40835477
2019-11-21 23:00:00,1573304.8749851
2019-11-22 23:00:00,1010840.18924162
2019-11-23 23:00:00,824423.434529546
2019-11-24 23:00:00,1316525.8036636
2019-11-25 23:00:00,1172810.16045225
2019-11-26 23:00:00,1014562.11767074
2019-11-27 23:00:00,764888.006758807
2019-11-28 23:00:00,991528.113663892
2019-11-29 23:00:00,750855.209857113
2019-11-30 23:00:00,680284.709231954
2019-12-01 23:00:00,865728.87978467
2019-12-02 23:00:00,854602.911802966
2019-12-03 23:00:00,2329577.92166183
2019-12-04 23:00:00,898001.057487505
2019-12-05 23:00:00,2288980.71377945
2019-12-06 23:00:00,957054.855731875
2019-12-07 23:00:00,731180.603252509
2019-12-08 23:00:00,1190356.7997295
2019-12-09 23:00:00,1148974.68743132
2019-12-10 23:00:00,1207960.67269245
2019-12-11 23:00:00,835730.081436612
2019-12-12 23:00:00,720319.254325102
2019-12-13 23:00:00,730482.960950935
2019-12-14 23:00:00,650460.969850616
2019-12-15 23:00:00,767656.100771835
2019-12-16 23:00:00,1777401.2009867
2019-12-17 23:00:00,1164742.9247833
2019-12-18 23:00:00,1004379.59851356
2019-12-19 23:00:00,1006115.21484346
2019-12-20 23:00:00,677306.859111167
2019-12-21 23:00:00,759089.242038868
2019-12-22 23:00:00,949499.209792517
2019-12-23 23:00:00,730761.017291865
2019-12-24 23:00:00,596758.284247587
2019-12-25 23:00:00,701726.353554965
2019-12-26 23:00:00,868237.597389785
2019-12-27 23:00:00,685635.28338299
2019-12-28 23:00:00,562316.944862384
2019-12-29 23:00:00,988699.407643123
2019-12-30 23:00:00,724804.399888533
2019-12-31 23:00:00,445595.375982222
2020-01-01 23:00:00,695423.336835158
2020-01-02 23:00:00,1018828.76058016
2020-01-03 23:00:00,659620.034119296
2020-01-04 23:00:00,565296.54187035
2020-01-05 23:00:00,1097641.31609541
2020-01-06 23:00:00,786850.605013729
2020-01-07 23:00:00,901196.844609986
2020-01-08 23:00:00,1209651.56106412
2020-01-09 23:00:00,906991.318369058
2020-01-10 23:00:00,595929.426650587
2020-01-11 23:00:00,501745.460117209
2020-01-12 23:00:00,689551.99199671
2020-01-13 23:00:00,1249904.18551204
2020-01-14 23:00:00,1601482.10270927
2020-01-15 23:00:00,888152.900963791
2020-01-16 23:00:00,1116671.92697818
2020-01-17 23:00:00,505653.627783496
2020-01-18 23:00:00,632112.687328294
2020-01-19 23:00:00,979328.501556811
2020-01-20 23:00:00,668118.808808229
2020-01-21 23:00:00,897468.418794652
2020-01-22 23:00:00,867468.190280036
