Timestamp,n-payments
2019-10-13 00:00:00,429447
2019-10-14 00:00:00,484125
2019-10-15 00:00:00,522670
2019-10-16 00:00:00,530915
2019-10-17 00:00:00,521467
2019-10-18 00:00:00,527414
2019-10-19 00:00:00,497055
2019-10-20 00:00:00,446358
2019-10-21 00:00:00,549010
2019-10-22 00:00:00,547298
2019-10-23 00:00:00,547134
2019-10-24 00:00:00,483951
2019-10-25 00:00:00,526289
2019-10-26 00:00:00,490960
2019-10-27 00:00:00,414982
2019-10-28 00:00:00,493896
2019-10-29 00:00:00,484027
2019-10-30 00:00:00,495980
2019-10-31 00:00:00,473392
2019-11-01 00:00:00,505737
2019-11-02 00:00:00,456789
2019-11-03 00:00:00,457893
2019-11-03 23:00:00,504818
2019-11-04 23:00:00,535800
2019-11-05 23:00:00,511293
2019-11-06 23:00:00,512213
2019-11-07 23:00:00,508641
2019-11-08 23:00:00,495663
2019-11-09 23:00:00,450483
2019-11-10 23:00:00,503671
2019-11-11 23:00:00,479001
2019-11-12 23:00:00,505493
2019-11-13 23:00:00,526984
2019-11-14 23:00:00,540066
2019-11-15 23:00:00,462157
2019-11-16 23:00:00,415205
2019-11-17 23:00:00,472704
2019-11-18 23:00:00,514856
2019-11-19 23:00:00,500313
2019-11-20 23:00:00,614731
2019-11-21 23:00:00,614574
2019-11-22 23:00:00,518093
2019-11-23 23:00:00,420114
2019-11-24 23:00:00,460864
2019-11-25 23:00:00,509296
2019-11-26 23:00:00,510671
2019-11-27 23:00:00,484530
2019-11-28 23:00:00,494414
2019-11-29 23:00:00,452160
2019-11-30 23:00:00,425623
2019-12-01 23:00:00,496688
2019-12-02 23:00:00,509157
2019-12-03 23:00:00,527441
2019-12-04 23:00:00,480256
2019-12-05 23:00:00,491522
2019-12-06 23:00:00,442484
2019-12-07 23:00:00,425317
2019-12-08 23:00:00,498904
2019-12-09 23:00:00,493646
2019-12-10 23:00:00,463592
2019-12-11 23:00:00,479610
2019-12-12 23:00:00,501988
2019-12-13 23:00:00,451084
2019-12-14 23:00:00,397792
2019-12-15 23:00:00,503367
2019-12-16 23:00:00,503164
2019-12-17 23:00:00,502171
2019-12-18 23:00:00,492737
2019-12-19 23:00:00,513973
2019-12-20 23:00:00,471180
2019-12-21 23:00:00,423485
2019-12-22 23:00:00,475437
2019-12-23 23:00:00,453936
2019-12-24 23:00:00,389761
2019-12-25 23:00:00,460617
2019-12-26 23:00:00,507704
2019-12-27 23:00:00,467820
2019-12-28 23:00:00,429687
2019-12-29 23:00:00,515050
2019-12-30 23:00:00,471902
2019-12-31 23:00:00,396386
2020-01-01 23:00:00,483567
2020-01-02 23:00:00,503607
2020-01-03 23:00:00,462587
2020-01-04 23:00:00,471825
2020-01-05 23:00:00,502221
2020-01-06 23:00:00,572124
2020-01-07 23:00:00,496585
2020-01-08 23:00:00,499115
2020-01-09 23:00:00,542266
2020-01-10 23:00:00,478621
2020-01-11 23:00:00,422635
2020-01-12 23:00:00,451839
2020-01-13 23:00:00,535878
2020-01-14 23:00:00,524859
2020-01-15 23:00:00,507018
2020-01-16 23:00:00,499952
2020-01-17 23:00:00,446582
2020-01-18 23:00:00,433197
2020-01-19 23:00:00,479624
2020-01-20 23:00:00,482839
2020-01-21 23:00:00,498202
2020-01-22 23:00:00,496732
2020-01-23 23:00:00,476750
2020-01-24 23:00:00,427879
2020-01-25 23:00:00,390047
2020-01-26 23:00:00,435191
2020-01-27 23:00:00,510767
2020-01-28 23:00:00,507958
2020-01-29 23:00:00,508023
2020-01-30 23:00:00,514660
2020-01-31 23:00:00,465443
2020-02-01 23:00:00,441977
2020-02-02 23:00:00,504552
2020-02-03 23:00:00,480224
2020-02-04 23:00:00,548347
2020-02-05 23:00:00,491233
2020-02-06 23:00:00,520076
2020-02-07 23:00:00,489976
2020-02-08 23:00:00,471702
2020-02-09 23:00:00,465761
2020-02-10 23:00:00,558494
2020-02-11 23:00:00,534654
2020-02-12 23:00:00,532189
2020-02-13 23:00:00,509518
2020-02-14 23:00:00,507338
2020-02-15 23:00:00,448737
2020-02-16 23:00:00,528813
2020-02-17 23:00:00,516606
2020-02-18 23:00:00,524051
2020-02-19 23:00:00,502252
2020-02-20 23:00:00,525777
2020-02-21 23:00:00,488812
2020-02-22 23:00:00,434783
2020-02-23 23:00:00,512933
2020-02-24 23:00:00,521908
2020-02-25 23:00:00,522584
2020-02-26 23:00:00,523155
2020-02-27 23:00:00,571000
2020-02-28 23:00:00,477497
2020-02-29 23:00:00,481420
2020-03-01 23:00:00,539462
2020-03-02 23:00:00,536808
2020-03-03 23:00:00,556692
2020-03-04 23:00:00,538164
2020-03-05 23:00:00,530408
2020-03-06 23:00:00,490494
2020-03-07 23:00:00,469852
2020-03-09 00:00:00,545471
2020-03-10 00:00:00,532360
2020-03-11 00:00:00,467867
2020-03-12 00:00:00,602891
2020-03-13 00:00:00,547841
2020-03-14 00:00:00,510890
2020-03-15 00:00:00,404090
2020-03-16 00:00:00,499119
2020-03-17 00:00:00,528082
2020-03-18 00:00:00,442218
2020-03-19 00:00:00,493712
2020-03-20 00:00:00,520429
2020-03-21 00:00:00,453509
2020-03-22 00:00:00,391415
2020-03-23 00:00:00,473826
2020-03-24 00:00:00,497407
2020-03-25 00:00:00,420316
2020-03-26 00:00:00,519779
2020-03-27 00:00:00,506665
2020-03-28 00:00:00,454662
2020-03-29 00:00:00,421302
2020-03-30 00:00:00,503242
2020-03-31 00:00:00,521707
2020-04-01 00:00:00,507172
2020-04-02 00:00:00,535812
2020-04-03 00:00:00,509167
2020-04-04 00:00:00,461058
2020-04-05 00:00:00,426523
2020-04-06 00:00:00,508836
2020-04-07 00:00:00,554693
2020-04-08 00:00:00,518432
2020-04-09 00:00:00,510296
2020-04-10 00:00:00,518483
2020-04-11 00:00:00,453382
2020-04-12 00:00:00,415013
2020-04-13 00:00:00,516736
2020-04-14 00:00:00,539822
2020-04-15 00:00:00,577048
2020-04-16 00:00:00,593412
2020-04-17 00:00:00,529202
2020-04-18 00:00:00,549520
2020-04-19 00:00:00,474014
2020-04-20 00:00:00,588355
2020-04-21 00:00:00,569820
2020-04-22 00:00:00,532076
2020-04-23 00:00:00,598373
2020-04-24 00:00:00,594136
2020-04-25 00:00:00,517187
2020-04-26 00:00:00,465210
2020-04-27 00:00:00,575458
2020-04-28 00:00:00,600746
2020-04-29 00:00:00,619513
2020-04-30 00:00:00,621361
2020-05-01 00:00:00,627986
2020-05-02 00:00:00,543969
2020-05-03 00:00:00,520706
2020-05-04 00:00:00,600316
2020-05-05 00:00:00,597965
2020-05-06 00:00:00,612489
2020-05-07 00:00:00,637810
2020-05-08 00:00:00,614787
2020-05-09 00:00:00,581590
2020-05-10 00:00:00,537899
2020-05-11 00:00:00,600776
2020-05-12 00:00:00,628571
2020-05-13 00:00:00,562473
2020-05-14 00:00:00,534871
2020-05-15 00:00:00,589371
2020-05-16 00:00:00,544282
2020-05-17 00:00:00,452022
2020-05-18 00:00:00,551861
2020-05-19 00:00:00,518235
2020-05-20 00:00:00,543843
2020-05-21 00:00:00,576297
2020-05-22 00:00:00,541429
2020-05-23 00:00:00,506588
2020-05-24 00:00:00,418395
2020-05-25 00:00:00,507027
2020-05-26 00:00:00,541999
2020-05-27 00:00:00,549248
2020-05-28 00:00:00,562811
2020-05-29 00:00:00,544270
2020-05-30 00:00:00,520690
2020-05-31 00:00:00,468482
2020-06-01 00:00:00,570772
2020-06-02 00:00:00,585471
2020-06-03 00:00:00,591656
2020-06-04 00:00:00,582677
2020-06-05 00:00:00,601410
2020-06-06 00:00:00,525433
2020-06-07 00:00:00,459893
2020-06-08 00:00:00,580781
2020-06-09 00:00:00,596511
2020-06-10 00:00:00,602604
2020-06-11 00:00:00,628935
2020-06-12 00:00:00,595999
2020-06-13 00:00:00,519839
2020-06-14 00:00:00,491016
2020-06-15 00:00:00,567270
2020-06-16 00:00:00,626466
2020-06-17 00:00:00,617465
2020-06-18 00:00:00,543949
2020-06-19 00:00:00,623933
2020-06-20 00:00:00,532324
2020-06-21 00:00:00,457824
2020-06-22 00:00:00,560015
2020-06-23 00:00:00,649750
2020-06-24 00:00:00,579336
2020-06-25 00:00:00,585786
2020-06-26 00:00:00,609326
2020-06-27 00:00:00,518611
2020-06-28 00:00:00,477269
2020-06-29 00:00:00,574327
2020-06-30 00:00:00,576579
2020-07-01 00:00:00,697133
2020-07-02 00:00:00,632011
2020-07-03 00:00:00,627024
2020-07-04 00:00:00,542245
2020-07-05 00:00:00,484947
2020-07-06 00:00:00,620261
2020-07-07 00:00:00,649625
2020-07-08 00:00:00,642903
2020-07-09 00:00:00,661872
2020-07-10 00:00:00,640637
2020-07-11 00:00:00,574253
2020-07-12 00:00:00,497772
2020-07-13 00:00:00,587157
2020-07-14 00:00:00,672986
2020-07-15 00:00:00,621908
2020-07-16 00:00:00,656776
2020-07-17 00:00:00,575012
2020-07-18 00:00:00,583395
2020-07-19 00:00:00,505461
2020-07-20 00:00:00,586180
2020-07-21 00:00:00,613639
2020-07-22 00:00:00,690668
2020-07-23 00:00:00,645211
2020-07-24 00:00:00,695393
2020-07-25 00:00:00,580509
2020-07-26 00:00:00,557183
2020-07-27 00:00:00,637480
2020-07-28 00:00:00,678907
2020-07-29 00:00:00,675799
2020-07-30 00:00:00,643688
2020-07-31 00:00:00,692004
2020-08-01 00:00:00,603425
2020-08-02 00:00:00,583619
2020-08-03 00:00:00,657420
2020-08-04 00:00:00,659846
2020-08-05 00:00:00,603996
2020-08-06 00:00:00,711653
2020-08-07 00:00:00,667361
2020-08-08 00:00:00,586273
2020-08-09 00:00:00,526256
2020-08-10 00:00:00,637598
2020-08-11 00:00:00,695896
2020-08-12 00:00:00,693711
2020-08-13 00:00:00,658273
2020-08-14 00:00:00,717667
2020-08-15 00:00:00,635267
2020-08-16 00:00:00,550983
2020-08-17 00:00:00,611030
2020-08-18 00:00:00,677770
2020-08-19 00:00:00,680013
2020-08-20 00:00:00,665284
2020-08-21 00:00:00,640295
2020-08-22 00:00:00,610809
2020-08-23 00:00:00,550377
2020-08-24 00:00:00,636394
2020-08-25 00:00:00,634314
2020-08-26 00:00:00,657323
2020-08-27 00:00:00,661877
2020-08-28 00:00:00,682426
2020-08-29 00:00:00,591348
2020-08-30 00:00:00,527625
2020-08-31 00:00:00,621017
2020-09-01 00:00:00,748231
2020-09-02 00:00:00,672503
2020-09-03 00:00:00,656292
2020-09-04 00:00:00,655707
2020-09-05 00:00:00,667091
2020-09-06 00:00:00,539207
2020-09-07 00:00:00,644347
2020-09-08 00:00:00,662934
2020-09-09 00:00:00,655335
2020-09-10 00:00:00,714367
2020-09-11 00:00:00,649320
2020-09-12 00:00:00,595179
2020-09-13 00:00:00,526472
2020-09-14 00:00:00,691750
2020-09-15 00:00:00,681117
2020-09-16 00:00:00,707747
2020-09-17 00:00:00,707871
2020-09-18 00:00:00,663788
2020-09-19 00:00:00,596426
2020-09-20 00:00:00,522180
2020-09-21 00:00:00,611180
2020-09-22 00:00:00,633213
2020-09-23 00:00:00,693680
2020-09-24 00:00:00,640231
2020-09-25 00:00:00,701530
2020-09-26 00:00:00,558270
2020-09-27 00:00:00,515948
2020-09-28 00:00:00,587871
2020-09-29 00:00:00,684387
2020-09-30 00:00:00,710498
2020-10-01 00:00:00,634681
2020-10-02 00:00:00,649520
2020-10-03 00:00:00,605460
2020-10-04 00:00:00,538930
2020-10-05 00:00:00,588481
2020-10-06 00:00:00,641276
2020-10-07 00:00:00,710810
2020-10-08 00:00:00,647544
2020-10-09 00:00:00,673895
2020-10-10 00:00:00,585169
2020-10-11 00:00:00,512318
2020-10-12 00:00:00,609497
2020-10-13 00:00:00,682129
2020-10-14 00:00:00,637684
2020-10-15 00:00:00,692411
2020-10-16 00:00:00,671031
2020-10-17 00:00:00,551163
2020-10-18 00:00:00,472360
2020-10-19 00:00:00,616163
2020-10-20 00:00:00,651168
2020-10-21 00:00:00,632617
2020-10-22 00:00:00,687863
2020-10-23 00:00:00,666510
2020-10-24 00:00:00,612089
2020-10-25 00:00:00,501110
2020-10-26 00:00:00,529900
2020-10-27 00:00:00,545302
2020-10-28 00:00:00,557733
2020-10-29 00:00:00,604200
2020-10-30 00:00:00,606966
2020-10-31 00:00:00,581793
2020-11-01 00:00:00,557888
2020-11-01 23:00:00,510084
2020-11-02 23:00:00,672672
2020-11-03 23:00:00,648982
2020-11-04 23:00:00,673293
2020-11-05 23:00:00,700042
2020-11-06 23:00:00,564887
2020-11-07 23:00:00,514780
2020-11-08 23:00:00,654991
2020-11-09 23:00:00,631953
2020-11-10 23:00:00,658344
2020-11-11 23:00:00,668742
2020-11-12 23:00:00,638751
2020-11-13 23:00:00,574014
2020-11-14 23:00:00,518038
2020-11-15 23:00:00,620859
2020-11-16 23:00:00,700871
2020-11-17 23:00:00,736661
2020-11-18 23:00:00,656231
2020-11-19 23:00:00,715127
2020-11-20 23:00:00,623714
2020-11-21 23:00:00,555243
2020-11-22 23:00:00,614494
2020-11-23 23:00:00,692967
2020-11-24 23:00:00,745794
2020-11-25 23:00:00,687176
2020-11-26 23:00:00,670992
2020-11-27 23:00:00,594947
2020-11-28 23:00:00,539580
2020-11-29 23:00:00,570273
2020-11-30 23:00:00,763064
2020-12-01 23:00:00,700843
2020-12-02 23:00:00,720853
2020-12-03 23:00:00,678596
2020-12-04 23:00:00,594999
2020-12-05 23:00:00,528861
2020-12-06 23:00:00,621689
2020-12-07 23:00:00,675197
2020-12-08 23:00:00,691040
2020-12-09 23:00:00,658180
2020-12-10 23:00:00,670162
2020-12-11 23:00:00,603396
2020-12-12 23:00:00,563229
2020-12-13 23:00:00,636744
2020-12-14 23:00:00,668549
2020-12-15 23:00:00,700944
2020-12-16 23:00:00,697538
2020-12-17 23:00:00,793177
2020-12-18 23:00:00,704100
2020-12-19 23:00:00,588455
2020-12-20 23:00:00,591676
2020-12-21 23:00:00,693251
2020-12-22 23:00:00,741140
2020-12-23 23:00:00,609522
2020-12-24 23:00:00,614390
2020-12-25 23:00:00,584918
2020-12-26 23:00:00,643292
2020-12-27 23:00:00,670402
2020-12-28 23:00:00,724108
2020-12-29 23:00:00,762791
2020-12-30 23:00:00,776950
2020-12-31 23:00:00,584936
2021-01-01 23:00:00,666559
2021-01-02 23:00:00,749359
2021-01-03 23:00:00,799644
2021-01-04 23:00:00,791183
2021-01-05 23:00:00,858396
2021-01-06 23:00:00,869067
2021-01-07 23:00:00,822219
2021-01-08 23:00:00,704870
2021-01-09 23:00:00,714509
2021-01-10 23:00:00,755234
2021-01-11 23:00:00,735631
2021-01-12 23:00:00,718023
2021-01-13 23:00:00,743956
2021-01-14 23:00:00,765710
2021-01-15 23:00:00,705800
2021-01-16 23:00:00,596354
2021-01-17 23:00:00,665314
2021-01-18 23:00:00,707347
2021-01-19 23:00:00,707990
2021-01-20 23:00:00,699190
2021-01-21 23:00:00,748366
2021-01-22 23:00:00,665092
2021-01-23 23:00:00,573031
2021-01-24 23:00:00,680419
