Timestamp,n-transactions-excluding-popular
2019-10-11 00:00:00,334359
2019-10-12 00:00:00,293240
2019-10-13 00:00:00,272106
2019-10-14 00:00:00,295437
2019-10-15 00:00:00,325494
2019-10-16 00:00:00,321260
2019-10-17 00:00:00,324282
2019-10-18 00:00:00,329407
2019-10-19 00:00:00,296278
2019-10-20 00:00:00,281287
2019-10-21 00:00:00,340590
2019-10-22 00:00:00,331170
2019-10-23 00:00:00,339371
2019-10-24 00:00:00,294687
2019-10-25 00:00:00,317762
2019-10-26 00:00:00,295261
2019-10-27 00:00:00,247440
2019-10-28 00:00:00,298211
2019-10-29 00:00:00,297058
2019-10-30 00:00:00,304047
2019-10-31 00:00:00,283676
2019-11-01 00:00:00,307202
2019-11-02 00:00:00,277027
2019-11-03 00:00:00,279480
2019-11-03 23:00:00,301286
2019-11-04 23:00:00,322142
2019-11-05 23:00:00,304732
2019-11-06 23:00:00,314275
2019-11-07 23:00:00,300998
2019-11-08 23:00:00,297323
2019-11-09 23:00:00,291649
2019-11-10 23:00:00,316637
2019-11-11 23:00:00,291944
2019-11-12 23:00:00,309535
2019-11-13 23:00:00,340881
2019-11-14 23:00:00,315041
2019-11-15 23:00:00,274758
2019-11-16 23:00:00,255803
2019-11-17 23:00:00,295125
2019-11-18 23:00:00,316906
2019-11-19 23:00:00,312303
2019-11-20 23:00:00,314663
2019-11-21 23:00:00,300504
2019-11-22 23:00:00,298342
2019-11-23 23:00:00,259813
2019-11-24 23:00:00,270393
2019-11-25 23:00:00,310677
2019-11-26 23:00:00,307982
2019-11-27 23:00:00,300591
2019-11-28 23:00:00,301857
2019-11-29 23:00:00,269820
2019-11-30 23:00:00,268074
2019-12-01 23:00:00,306800
2019-12-02 23:00:00,328247
2019-12-03 23:00:00,329014
2019-12-04 23:00:00,303702
2019-12-05 23:00:00,307269
2019-12-06 23:00:00,277958
2019-12-07 23:00:00,271987
2019-12-08 23:00:00,305668
2019-12-09 23:00:00,312164
2019-12-10 23:00:00,283984
2019-12-11 23:00:00,304414
2019-12-12 23:00:00,315436
2019-12-13 23:00:00,287646
2019-12-14 23:00:00,257255
2019-12-15 23:00:00,318330
2019-12-16 23:00:00,309825
2019-12-17 23:00:00,305195
2019-12-18 23:00:00,311216
2019-12-19 23:00:00,324436
2019-12-20 23:00:00,304105
2019-12-21 23:00:00,274756
2019-12-22 23:00:00,294653
2019-12-23 23:00:00,281423
2019-12-24 23:00:00,237004
2019-12-25 23:00:00,288019
2019-12-26 23:00:00,313785
2019-12-27 23:00:00,291149
2019-12-28 23:00:00,273726
2019-12-29 23:00:00,315215
2019-12-30 23:00:00,285595
2019-12-31 23:00:00,246464
2020-01-01 23:00:00,288545
2020-01-02 23:00:00,308389
2020-01-03 23:00:00,280850
2020-01-04 23:00:00,281607
2020-01-05 23:00:00,291456
2020-01-06 23:00:00,333056
2020-01-07 23:00:00,308641
2020-01-08 23:00:00,314334
2020-01-09 23:00:00,322925
2020-01-10 23:00:00,302592
2020-01-11 23:00:00,276804
2020-01-12 23:00:00,283901
2020-01-13 23:00:00,337665
2020-01-14 23:00:00,323387
2020-01-15 23:00:00,318281
2020-01-16 23:00:00,316933
2020-01-17 23:00:00,281541
2020-01-18 23:00:00,277684
2020-01-19 23:00:00,307269
2020-01-20 23:00:00,308741
2020-01-21 23:00:00,321769
2020-01-22 23:00:00,324086
2020-01-23 23:00:00,309921
2020-01-24 23:00:00,283465
2020-01-25 23:00:00,259076
2020-01-26 23:00:00,276009
2020-01-27 23:00:00,336119
2020-01-28 23:00:00,336452
2020-01-29 23:00:00,328495
2020-01-30 23:00:00,330148
2020-01-31 23:00:00,300224
2020-02-01 23:00:00,287517
2020-02-02 23:00:00,326015
2020-02-03 23:00:00,303439
2020-02-04 23:00:00,363772
2020-02-05 23:00:00,310467
2020-02-06 23:00:00,329622
2020-02-07 23:00:00,313558
2020-02-08 23:00:00,312303
2020-02-09 23:00:00,293033
2020-02-10 23:00:00,359449
2020-02-11 23:00:00,338620
2020-02-12 23:00:00,334371
2020-02-13 23:00:00,320995
2020-02-14 23:00:00,317700
2020-02-15 23:00:00,287672
2020-02-16 23:00:00,336202
2020-02-17 23:00:00,326133
2020-02-18 23:00:00,329727
2020-02-19 23:00:00,312257
2020-02-20 23:00:00,333943
2020-02-21 23:00:00,300931
2020-02-22 23:00:00,281338
2020-02-23 23:00:00,324317
2020-02-24 23:00:00,329292
2020-02-25 23:00:00,324397
2020-02-26 23:00:00,333621
2020-02-27 23:00:00,363076
2020-02-28 23:00:00,302722
2020-02-29 23:00:00,305710
2020-03-01 23:00:00,337674
2020-03-02 23:00:00,336856
2020-03-03 23:00:00,352908
2020-03-04 23:00:00,343507
2020-03-05 23:00:00,332658
2020-03-06 23:00:00,308409
2020-03-07 23:00:00,297582
2020-03-09 00:00:00,341993
2020-03-10 00:00:00,323260
2020-03-11 00:00:00,282158
2020-03-12 00:00:00,342871
2020-03-13 00:00:00,268867
2020-03-14 00:00:00,273164
2020-03-15 00:00:00,218209
2020-03-16 00:00:00,264670
2020-03-17 00:00:00,272185
2020-03-18 00:00:00,226130
2020-03-19 00:00:00,259744
2020-03-20 00:00:00,278732
2020-03-21 00:00:00,241262
2020-03-22 00:00:00,205480
2020-03-23 00:00:00,255089
2020-03-24 00:00:00,272858
2020-03-25 00:00:00,213684
2020-03-26 00:00:00,286379
2020-03-27 00:00:00,271476
2020-03-28 00:00:00,236015
2020-03-29 00:00:00,228695
2020-03-30 00:00:00,271674
2020-03-31 00:00:00,284553
2020-04-01 00:00:00,276618
2020-04-02 00:00:00,293336
2020-04-03 00:00:00,273371
2020-04-04 00:00:00,248651
2020-04-05 00:00:00,235466
2020-04-06 00:00:00,274863
2020-04-07 00:00:00,307080
2020-04-08 00:00:00,281017
2020-04-09 00:00:00,281112
2020-04-10 00:00:00,284042
2020-04-11 00:00:00,244111
2020-04-12 00:00:00,224232
2020-04-13 00:00:00,283454
2020-04-14 00:00:00,293959
2020-04-15 00:00:00,304818
2020-04-16 00:00:00,317333
2020-04-17 00:00:00,279707
2020-04-18 00:00:00,284802
2020-04-19 00:00:00,247476
2020-04-20 00:00:00,305774
2020-04-21 00:00:00,306264
2020-04-22 00:00:00,273832
2020-04-23 00:00:00,324658
2020-04-24 00:00:00,315394
2020-04-25 00:00:00,276388
2020-04-26 00:00:00,249019
2020-04-27 00:00:00,307139
2020-04-28 00:00:00,318594
2020-04-29 00:00:00,326263
2020-04-30 00:00:00,316948
2020-05-01 00:00:00,335844
2020-05-02 00:00:00,282669
2020-05-03 00:00:00,277394
2020-05-04 00:00:00,321484
2020-05-05 00:00:00,323943
2020-05-06 00:00:00,327922
2020-05-07 00:00:00,336381
2020-05-08 00:00:00,317934
2020-05-09 00:00:00,307093
2020-05-10 00:00:00,281728
2020-05-11 00:00:00,300625
2020-05-12 00:00:00,339565
2020-05-13 00:00:00,291745
2020-05-14 00:00:00,264283
2020-05-15 00:00:00,305379
2020-05-16 00:00:00,291317
2020-05-17 00:00:00,231918
2020-05-18 00:00:00,269104
2020-05-19 00:00:00,270773
2020-05-20 00:00:00,275788
2020-05-21 00:00:00,293771
2020-05-22 00:00:00,273638
2020-05-23 00:00:00,265375
2020-05-24 00:00:00,211050
2020-05-25 00:00:00,261163
