Timestamp,transaction-fees-usd
2019-04-21 00:00:00,270263.140422265
2019-04-22 00:00:00,377961.8267204
2019-04-23 00:00:00,533897.413199557
2019-04-24 00:00:00,742857.328451555
2019-04-25 00:00:00,512617.28504571
2019-04-26 00:00:00,470909.878681451
2019-04-27 00:00:00,280653.53117378
2019-04-28 00:00:00,247870.94859326
2019-04-29 00:00:00,366674.191477149
2019-04-30 00:00:00,447687.571876454
2019-05-01 00:00:00,355112.39319592
2019-05-02 00:00:00,352449.34535022
2019-05-03 00:00:00,457428.841073132
2019-05-04 00:00:00,355778.377034773
2019-05-05 00:00:00,359875.131106285
2019-05-06 00:00:00,431472.576428765
2019-05-07 00:00:00,550568.76084536
2019-05-08 00:00:00,654864.405159654
2019-05-09 00:00:00,653469.00891496
2019-05-10 00:00:00,786365.15324744
2019-05-11 00:00:00,848925.356296582
2019-05-12 00:00:00,771725.965372654
2019-05-13 00:00:00,840292.0937122
2019-05-14 00:00:00,1057863.89911657
2019-05-15 00:00:00,1585533.64083739
2019-05-16 00:00:00,1853649.07416285
2019-05-17 00:00:00,1650951.41169966
2019-05-18 00:00:00,987228.6029589
2019-05-19 00:00:00,996544.122010446
2019-05-20 00:00:00,1468601.70168584
2019-05-21 00:00:00,1610675.95334609
2019-05-22 00:00:00,1416401.39704072
2019-05-23 00:00:00,1262208.55123279
2019-05-24 00:00:00,1535781.22957152
2019-05-25 00:00:00,1031523.88459694
2019-05-26 00:00:00,778839.007618941
2019-05-27 00:00:00,1727257.42473471
2019-05-28 00:00:00,1735508.55352325
2019-05-29 00:00:00,1633565.78418822
2019-05-30 00:00:00,1629865.55599071
2019-05-31 00:00:00,1713611.62299618
2019-06-01 00:00:00,1362765.48977121
2019-06-02 00:00:00,1028715.30662847
2019-06-03 00:00:00,1693015.42862659
2019-06-04 00:00:00,1728231.03240991
2019-06-05 00:00:00,1238191.52050696
2019-06-06 00:00:00,959903.722605092
2019-06-07 00:00:00,861779.733886153
2019-06-08 00:00:00,582893.90929086
2019-06-09 00:00:00,498962.708959555
2019-06-10 00:00:00,804692.654421822
2019-06-11 00:00:00,872726.85625637
2019-06-12 00:00:00,874622.13832975
2019-06-13 00:00:00,893272.238838839
2019-06-14 00:00:00,987978.100464444
2019-06-15 00:00:00,686185.09923132
2019-06-16 00:00:00,677589.485449899
2019-06-17 00:00:00,1094333.82436547
2019-06-18 00:00:00,1069445.10156704
2019-06-19 00:00:00,967567.140086065
2019-06-20 00:00:00,1047359.4189632
2019-06-21 00:00:00,1237370.87558488
2019-06-22 00:00:00,1317249.19958094
2019-06-23 00:00:00,873606.602986917
2019-06-24 00:00:00,1120601.172317
2019-06-25 00:00:00,1371038.30731988
2019-06-26 00:00:00,2360622.22856474
2019-06-27 00:00:00,2392393.92450737
2019-06-28 00:00:00,2133609.78713692
2019-06-29 00:00:00,1292722.06773499
2019-06-30 00:00:00,1211030.04519003
2019-07-01 00:00:00,1357397.50451113
2019-07-02 00:00:00,1212199.91511567
2019-07-03 00:00:00,1072672.23297331
2019-07-04 00:00:00,989158.539741836
