Timestamp,estimated-transaction-volume
2019-09-07 00:00:00,88560.98318333
2019-09-08 00:00:00,69901.47325902
2019-09-09 00:00:00,119745.22620632
2019-09-10 00:00:00,191560.24628716
2019-09-11 00:00:00,141835.54035998
2019-09-12 00:00:00,178043.4328582
2019-09-13 00:00:00,89784.05693162
2019-09-14 00:00:00,53218.43513238
2019-09-15 00:00:00,45041.39451513
2019-09-16 00:00:00,148816.44913063
2019-09-17 00:00:00,138304.55309817
2019-09-18 00:00:00,186166.19459585
2019-09-19 00:00:00,126927.77220945
2019-09-20 00:00:00,172299.50629295
2019-09-21 00:00:00,128983.64546895
2019-09-22 00:00:00,55400.40252944
2019-09-23 00:00:00,86663.67963059
2019-09-24 00:00:00,339444.10141853
2019-09-25 00:00:00,247243.43303523
2019-09-26 00:00:00,159500.3579599
2019-09-27 00:00:00,144218.25346733
2019-09-28 00:00:00,71069.8617817
2019-09-29 00:00:00,57209.93689166
2019-09-30 00:00:00,127661.03046537
2019-10-01 00:00:00,128788.34560116
2019-10-02 00:00:00,91372.94712638
2019-10-03 00:00:00,114648.67944153
2019-10-04 00:00:00,90078.77442701
2019-10-05 00:00:00,46309.16646668
2019-10-06 00:00:00,54971.26281243
2019-10-07 00:00:00,106610.33485118
2019-10-08 00:00:00,115940.06809032
2019-10-09 00:00:00,127323.00149506
2019-10-10 00:00:00,124093.63300066
2019-10-11 00:00:00,112113.5112481
2019-10-12 00:00:00,52097.22851634
2019-10-13 00:00:00,42862.95204993
2019-10-14 00:00:00,206989.97978652
2019-10-15 00:00:00,113361.47403157
2019-10-16 00:00:00,117657.52086152
2019-10-17 00:00:00,156710.83088989
2019-10-18 00:00:00,131496.99590386
2019-10-19 00:00:00,49356.82406748
2019-10-20 00:00:00,41820.66827601
2019-10-21 00:00:00,115474.92732575
2019-10-22 00:00:00,121364.44195336
2019-10-23 00:00:00,168686.5627367
2019-10-24 00:00:00,132153.29473176
2019-10-25 00:00:00,166567.01339027
2019-10-26 00:00:00,133866.29826938
2019-10-27 00:00:00,76527.76960216
2019-10-28 00:00:00,198859.30233762
2019-10-29 00:00:00,123490.89324901
2019-10-30 00:00:00,101612.73037051
2019-10-31 00:00:00,171270.8628967
2019-11-01 00:00:00,226201.69051053
2019-11-02 00:00:00,79336.74523666
2019-11-03 00:00:00,85660.1188983599
2019-11-03 23:00:00,144089.15854624
2019-11-04 23:00:00,296858.88677609
2019-11-05 23:00:00,154859.77183922
2019-11-06 23:00:00,152471.28377145
2019-11-07 23:00:00,162088.65329925
2019-11-08 23:00:00,118708.85108578
2019-11-09 23:00:00,40975.991728
2019-11-10 23:00:00,81787.8559671401
2019-11-11 23:00:00,99092.20185613
2019-11-12 23:00:00,169820.88852254
2019-11-13 23:00:00,109449.82627208
2019-11-14 23:00:00,140223.79030358
2019-11-15 23:00:00,54541.05914009
2019-11-16 23:00:00,40224.20218022
2019-11-17 23:00:00,124758.52049023
2019-11-18 23:00:00,113824.573069
2019-11-19 23:00:00,107526.52185825
2019-11-20 23:00:00,149429.45673503
2019-11-21 23:00:00,233051.32072927
2019-11-22 23:00:00,159423.02874143
2019-11-23 23:00:00,76337.47818228
2019-11-24 23:00:00,189626.3047531
2019-11-25 23:00:00,165424.52141393
2019-11-26 23:00:00,210101.21294546
2019-11-27 23:00:00,102341.42368838
2019-11-28 23:00:00,140961.63628341
2019-11-29 23:00:00,90740.9361248
2019-11-30 23:00:00,55712.18236208
2019-12-01 23:00:00,123662.96283579
2019-12-02 23:00:00,150333.41646956
2019-12-03 23:00:00,201360.82923784
2019-12-04 23:00:00,113328.87037195
2019-12-05 23:00:00,166833.59060654
2019-12-06 23:00:00,111993.0749512
2019-12-07 23:00:00,41030.26722398
2019-12-08 23:00:00,132096.01481823
2019-12-09 23:00:00,165470.14683486
2019-12-10 23:00:00,133289.60254177
2019-12-11 23:00:00,175621.17700759
2019-12-12 23:00:00,126104.70553378
2019-12-13 23:00:00,63571.88399144
2019-12-14 23:00:00,46749.15034364
2019-12-15 23:00:00,125281.71507989
2019-12-16 23:00:00,251807.08287984
2019-12-17 23:00:00,240041.71634996
2019-12-18 23:00:00,165854.05325802
2019-12-19 23:00:00,166611.62514327
2019-12-20 23:00:00,67721.75703059
2019-12-21 23:00:00,56486.59110175
2019-12-22 23:00:00,152654.86458667
2019-12-23 23:00:00,105404.34744226
2019-12-24 23:00:00,119669.63620597
2019-12-25 23:00:00,108613.41116734
2019-12-26 23:00:00,117903.8262163
2019-12-27 23:00:00,65887.9557732
2019-12-28 23:00:00,51871.88810028
2019-12-29 23:00:00,131283.54731356
2019-12-30 23:00:00,118692.27692215
2019-12-31 23:00:00,38648.24679086
2020-01-01 23:00:00,98003.465802
2020-01-02 23:00:00,236599.38690371
2020-01-03 23:00:00,85109.87776538
2020-01-04 23:00:00,47803.86397373
2020-01-05 23:00:00,127638.22034273
2020-01-06 23:00:00,141873.73420881
2020-01-07 23:00:00,144356.99418374
2020-01-08 23:00:00,197513.24779745
2020-01-09 23:00:00,162847.24910828
2020-01-10 23:00:00,63061.48057476
2020-01-11 23:00:00,55680.89579774
2020-01-12 23:00:00,108793.80403332
2020-01-13 23:00:00,335665.94334151
2020-01-14 23:00:00,280822.13175005
2020-01-15 23:00:00,152626.97650804
2020-01-16 23:00:00,173664.39846012
2020-01-17 23:00:00,77864.56200069
2020-01-18 23:00:00,68120.97656105
2020-01-19 23:00:00,146372.36081798
2020-01-20 23:00:00,103774.67254467
2020-01-21 23:00:00,144608.58591928
2020-01-22 23:00:00,165824.99086889
2020-01-23 23:00:00,116895.23020499
2020-01-24 23:00:00,44807.6710861
2020-01-25 23:00:00,44461.50905508
2020-01-26 23:00:00,92546.4494980701
2020-01-27 23:00:00,116541.5660229
2020-01-28 23:00:00,129782.17136393
2020-01-29 23:00:00,181443.87730608
2020-01-30 23:00:00,237347.73978322
2020-01-31 23:00:00,105828.35283966
2020-02-01 23:00:00,65038.56846687
2020-02-02 23:00:00,376635.80029822
2020-02-03 23:00:00,106601.43838245
2020-02-04 23:00:00,125158.09557864
2020-02-05 23:00:00,343051.53339826
2020-02-06 23:00:00,184460.94895744
2020-02-07 23:00:00,147390.86284239
2020-02-08 23:00:00,73754.50444352
2020-02-09 23:00:00,167002.23945628
2020-02-10 23:00:00,231748.72092039
2020-02-11 23:00:00,180717.5699263
2020-02-12 23:00:00,184803.97834328
2020-02-13 23:00:00,150686.40615281
2020-02-14 23:00:00,108897.55133657
2020-02-15 23:00:00,164576.72659467
2020-02-16 23:00:00,230188.81836198
2020-02-17 23:00:00,153624.29060613
2020-02-18 23:00:00,185797.30231446
2020-02-19 23:00:00,170588.4242693
2020-02-20 23:00:00,116885.16019362
2020-02-21 23:00:00,52610.87379341
2020-02-22 23:00:00,74613.19616453
2020-02-23 23:00:00,108908.5764442
2020-02-24 23:00:00,114823.40121733
2020-02-25 23:00:00,144920.93813653
2020-02-26 23:00:00,230954.56873809
2020-02-27 23:00:00,205516.10401421
2020-02-28 23:00:00,70693.36063125
2020-02-29 23:00:00,64151.94497077
2020-03-01 23:00:00,139816.94722347
2020-03-02 23:00:00,153057.16598448
2020-03-03 23:00:00,153557.84425103
2020-03-04 23:00:00,149523.32931023
2020-03-05 23:00:00,174643.04681735
2020-03-06 23:00:00,78571.6903904
2020-03-07 23:00:00,87962.35982647
2020-03-09 00:00:00,255326.36339724
2020-03-10 00:00:00,206714.51548543
2020-03-11 00:00:00,201092.54873732
2020-03-12 00:00:00,562532.03844696
2020-03-13 00:00:00,548284.15281585
2020-03-14 00:00:00,214808.18146319
2020-03-15 00:00:00,130733.34931246
2020-03-16 00:00:00,369120.30596643
2020-03-17 00:00:00,293279.42219886
2020-03-18 00:00:00,206422.87703623
2020-03-19 00:00:00,208717.92457162
2020-03-20 00:00:00,326327.6586704
2020-03-21 00:00:00,104842.63233758
2020-03-22 00:00:00,116149.63921555
2020-03-23 00:00:00,171254.76124635
2020-03-24 00:00:00,285682.76921379
2020-03-25 00:00:00,141313.27945988
2020-03-26 00:00:00,147571.32200352
2020-03-27 00:00:00,181775.21569903
2020-03-28 00:00:00,97521.3631953
2020-03-29 00:00:00,94781.20513492
2020-03-30 00:00:00,169545.63568834
2020-03-31 00:00:00,183387.61589389
2020-04-01 00:00:00,137069.09191477
2020-04-02 00:00:00,165119.81613005
2020-04-03 00:00:00,146105.13705116
2020-04-04 00:00:00,68341.02361361
2020-04-05 00:00:00,65792.84869851
2020-04-06 00:00:00,269773.30765529
2020-04-07 00:00:00,209308.56775407
2020-04-08 00:00:00,131533.4224242
2020-04-09 00:00:00,316026.55465864
2020-04-10 00:00:00,158397.15553843
2020-04-11 00:00:00,68136.03344977
2020-04-12 00:00:00,58780.75101332
2020-04-13 00:00:00,166833.78406975
2020-04-14 00:00:00,119879.01847391
2020-04-15 00:00:00,148529.93386735
2020-04-16 00:00:00,183664.85403477
2020-04-17 00:00:00,151884.4059746
2020-04-18 00:00:00,72700.16883926
2020-04-19 00:00:00,63892.93460417
2020-04-20 00:00:00,142026.36155992
2020-04-21 00:00:00,158582.77088265
2020-04-22 00:00:00,135613.25557325
2020-04-23 00:00:00,176407.82845698
2020-04-24 00:00:00,252999.90067026
2020-04-25 00:00:00,77948.12504636
2020-04-26 00:00:00,62822.22317557
2020-04-27 00:00:00,161589.25019418
2020-04-28 00:00:00,136800.4636958
2020-04-29 00:00:00,381035.25990029
2020-04-30 00:00:00,302044.74430637
2020-05-01 00:00:00,224914.91089891
2020-05-02 00:00:00,73277.84088433
2020-05-03 00:00:00,88757.48438065
2020-05-04 00:00:00,148485.72000459
2020-05-05 00:00:00,129613.11786582
2020-05-06 00:00:00,178147.75609516
2020-05-07 00:00:00,203696.25750297
2020-05-08 00:00:00,259355.41031719
2020-05-09 00:00:00,193480.57545977
2020-05-10 00:00:00,133098.55351411
2020-05-11 00:00:00,191871.68197665
2020-05-12 00:00:00,217639.52113417
2020-05-13 00:00:00,204217.30316259
2020-05-14 00:00:00,130848.35378676
2020-05-15 00:00:00,165118.84751829
2020-05-16 00:00:00,96130.75316348
2020-05-17 00:00:00,57448.06017708
2020-05-18 00:00:00,156862.61215763
2020-05-19 00:00:00,136866.63311992
2020-05-20 00:00:00,176517.37570305
2020-05-21 00:00:00,198429.80866881
2020-05-22 00:00:00,143644.37565216
2020-05-23 00:00:00,71722.28904869
2020-05-24 00:00:00,107256.0429658
2020-05-25 00:00:00,270424.20055243
2020-05-26 00:00:00,116290.36726367
2020-05-27 00:00:00,181996.845827
2020-05-28 00:00:00,138922.72036044
2020-05-29 00:00:00,174955.09131375
2020-05-30 00:00:00,76390.33484394
2020-05-31 00:00:00,163468.67874987
2020-06-01 00:00:00,251034.49064988
2020-06-02 00:00:00,269856.47558314
2020-06-03 00:00:00,143202.62832215
