,time,open,high,low,close,volume
0,2014-01-01 00:00:00,730.24,757,730.24,754.22,5883.99695487001
1,2014-01-02 00:00:00,751.88,800,742.52,784.34,9584.91453353008
2,2014-01-03 00:00:00,784.12,818.99,768,807,10253.8877436401
3,2014-01-04 00:00:00,808.5,830.4,791.04,829,10768.5978873301
4,2014-01-05 00:00:00,829.9,939.8,825,905.36,18946.6570916099
5,2014-01-06 00:00:00,905,995,875.181,919.24,21038.6254868698
6,2014-01-07 00:00:00,915.7,943.15,781,781,25356.8406498093
7,2014-01-08 00:00:00,785.01,849,765,824.89,20372.53172769
8,2014-01-09 00:00:00,824.89,846.35,779.99,826.2,15871.6025231103
9,2014-01-10 00:00:00,825.5,860.64,799.98,853.02,8011.79336830005
10,2014-01-11 00:00:00,850,915,848,896.59,10520.5960713802
11,2014-01-12 00:00:00,898.5,906,824.45143,842.1,10376.8434369101
12,2014-01-13 00:00:00,842.01,844.68,784,824.5,14308.7087051802
13,2014-01-14 00:00:00,823.17,836.99,802.3,816,4816.78362108003
14,2014-01-15 00:00:00,816,850.25,811.25,842.111,7238.15698086007
15,2014-01-16 00:00:00,842.101,847.68,812.48,812.48,3686.64958124
16,2014-01-17 00:00:00,812.48,820.22,765.03,800,11514.7178664003
17,2014-01-18 00:00:00,798.99,820,794.93,811.22,3987.64776987002
18,2014-01-19 00:00:00,811.2,842,794.41,841.11,6661.72551215013
19,2014-01-20 00:00:00,842.07,844.99,815.01,827.11,5520.23730462005
20,2014-01-21 00:00:00,826.02,834.17,813.6,824.34,2891.50023991
21,2014-01-22 00:00:00,824.89,826.5,803.1,818,2938.54753894001
22,2014-01-23 00:00:00,817.99,823,802.52,811.01,2838.97961165
23,2014-01-24 00:00:00,811.01,812.7689,767.23,778,11262.9423914602
24,2014-01-25 00:00:00,778.13,817,774.38,805.4,4713.79803381002
25,2014-01-26 00:00:00,806.81,836.7318,794.64,815,7513.57053368004
26,2014-01-27 00:00:00,815,824.9999,726.5,750,15629.6818693602
27,2014-01-28 00:00:00,748.123,814.5,741.214,784.0001,13647.5002643502
28,2014-01-29 00:00:00,785,805,781.4417,791.56,3865.88167876003
29,2014-01-30 00:00:00,792.69,812.65489,770,801.5,8205.38234448006
30,2014-01-31 00:00:00,799.5,809.6746,793,803.5,3912.0445727
31,2014-02-01 00:00:00,803.58,829,801,812.5211,4537.3743903
32,2014-02-02 00:00:00,815.52,827.2,811,814.222,3149.53715899001
33,2014-02-03 00:00:00,814.222,815.2,798.5,806.01,3446.69515272
