,date,utxo-count,cost-per-transaction-percent,hash-rate,n-transactions-excluding-popular,difficulty,mempool-size,output-volume,fees-usd-per-transaction,transaction-fees-usd,n-unique-addresses,mempool-count,transactions-per-second,mempool-growth,my-wallet-n-users,miners-revenue,n-payments,estimated-transaction-volume,n-transactions,transaction-fees,estimated-transaction-volume-usd,cost-per-transaction
224,2019-12-01,63888103.0,1.4872996917273,87522557.86842342,306800.0,12973235968800.0,527242.0,865728.87978467,0.605671230597163,190622.906405845,552276.0,1496.5,2.76666666666667,,43894096.0,13446041.6564058,496688.0,123662.96283579,314730.0,26.09108998,904057314.823355,42.7224657846594
225,2019-12-02,63956391.0,1.32928650123404,89365138.03407443,328247.0,12973235968800.0,2585069.75,854602.911802966,0.553872119316978,186384.614615595,565368.0,6170.5,3.075,,43930887.0,14637722.1146156,509157.0,150333.41646956,336512.0,25.47734062,1101171350.2715,43.4983659263729
226,2019-12-03,63999034.5,1.06315386546715,92681782.3322462,329014.0,12973235968800.0,453857.0,2329577.92166183,0.637205850616611,217050.154483835,569753.0,1302.5,5.08333333333333,,43961441.0,15591131.4044838,527441.0,201360.82923784,337284.0,29.54553925,1466498115.73916,45.7717257667715
227,2019-12-04,64059130.0,1.62104084979118,95261394.5641576,303702.0,12955951549096.1,1219249.0,898001.057487505,0.547059844938302,170391.635783243,535061.0,3340.5,3.41666666666667,,43977136.0,13451289.4192284,480256.0,113328.87037195,311468.0,23.24165709,829793365.229581,43.1867460516921
228,2019-12-05,64094385.5,1.10150074941786,93585274.42810573,307269.0,12876842089682.0,860398.25,2288980.71377945,0.587270270189183,185216.821433886,534431.0,2319.75,3.3083333333333353,,44016346.5,13603961.7470767,491522.0,166833.59060654,315386.0,25.03292648,1235038809.93875,43.1343234863841
229,2019-12-06,64157862.0,1.81406518955245,94315177.49841549,277958.0,12876842089682.0,9436297.0,957054.855731875,0.476905662317346,136488.492932575,465570.0,17708.5,4.28333333333333,,44046973.0,15286888.4929326,442484.0,111993.0749512,285284.0,18.05659965,842686832.919384,53.4140536308424
230,2019-12-07,64125698.5,4.53703042299707,96880815.354774,271987.0,12876842089682.0,1059574.5,731180.603252509,0.389803591572119,108697.90092066,434939.0,3245.5,3.28333333333333,,44073495.5,13969510.4009207,425317.0,41030.26722398,278853.0,14.5034802,307899861.771098,50.0963245900911
231,2019-12-08,64168317.0,1.4190242442705,97608664.81120308,305668.0,12876842089682.0,1434731.75,1190356.7997295,0.518708303390742,162681.966484135,538820.0,4076.5,2.65,,44101415.0,13970881.9664841,498904.0,132096.01481823,313629.0,21.82070486,984541456.77168,44.5458869125117
232,2019-12-09,64195564.0,1.13403932971704,97783740.21793687,312164.0,12876842089682.0,4889100.5,1148974.68743132,0.529059361226489,169332.855391595,548706.0,8397.5,4.01666666666667,,44114786.0,13646564.1053916,493646.0,165470.14683486,320064.0,23.22218997,1203358979.51588,42.6369854322623
233,2019-12-10,64139390.5,1.25614982030957,96761138.51699756,283984.0,12876842089682.0,1372907.25,1207960.67269245,0.60888858596641,177337.582885545,521113.0,3801.25,3.175,,44156952.5,12062018.8328855,463592.0,133289.60254177,291248.0,24.60426083,960237277.26307,41.414941331393
234,2019-12-11,64126766.0,0.958747838979698,93446264.2163581,304414.0,12876842089682.0,2400801.0,835730.081436612,0.518750950144438,161743.952500285,531404.0,2449.0,4.38333333333333,,44191771.0,12076200.2025003,479610.0,175621.17700759,311795.0,22.56385567,1259580435.1801,38.7312182764325
235,2019-12-12,64091424.0,1.5438346708974,92267470.555223,315436.0,12876842089682.0,719494.5,720319.254325102,0.500657400706147,163140.7159923,547987.0,2423.0,3.98333333333333,,44233395.5,14060284.4659923,501988.0,126104.70553378,322888.0,22.4711631,910737705.988904,43.1491637824181
236,2019-12-13,64145849.5,3.03493666129973,92907581.84747924,287646.0,12876842089682.0,1606244.0,730482.960950935,0.371730534759435,111357.45764521,475246.0,4552.75,2.925,,44275601.0,13824044.9576452,451084.0,63571.88399144,293496.0,15.36404462,455496983.970829,46.1470631003128
237,2019-12-14,64164180.0,3.35666263566137,92541803.96618998,257255.0,12876842089682.0,898469.5,650460.969850616,0.550241039690093,144956.049736998,434034.0,2637.5,3.16666666666667,,44303024.5,11126047.8730105,397792.0,46749.15034364,263441.0,20.4478166,331461605.786852,42.2335470675045
238,2019-12-15,64219782.0,1.60520066707446,90347136.67845424,318330.0,12876842089682.0,265564.5,767656.100771835,0.476697540841595,156312.460524745,549300.0,821.0,2.58333333333333,,44346912.0,14132643.7105247,503367.0,125281.71507989,327085.0,22.16325645,880428472.303217,43.099548684611
239,2019-12-16,64133773.0,0.713163943164135,91170136.91135514,309825.0,12876842089682.0,1029788.75,1777401.2009867,0.486689921182069,155377.70409706,557300.0,3141.25,3.791666666666665,,44366315.0,12121833.9540971,503164.0,251807.08287984,319254.0,22.92717755,1699726138.74945,37.9692469134202
240,2019-12-17,63994602.0,0.707152823324523,90530025.61909889,305195.0,12876842089682.0,12535078.0,1164742.9247833,0.589118170980636,187707.777228705,560284.0,10542.0,3.96666666666667,,,11695182.7772287,502171.0,240041.71634996,314249.0,27.48314294,1653840922.56698,36.705163679023
241,2019-12-18,63960353.0,1.23073919352993,90712914.55974352,311216.0,12892837609390.5,2397360.5,1004379.59851356,0.638353332902171,209201.792612032,539310.0,6047.0,3.483333333333335,,,14591652.0228841,492737.0,165854.05325802,319555.0,28.71547007,1185600661.7481,44.5246170458534
242,2019-12-19,64002733.0,1.18471414472948,92925415.73759636,324436.0,12948593420946.0,2451268.25,1006115.21484346,0.547570643415816,182153.207526775,,4906.25,3.51666666666667,,44476864.0,14124384.4575268,513973.0,166611.62514327,332657.0,25.47719556,1192218774.49197,42.4593032989739
243,2019-12-20,64036575.0,3.27356868683846,93370681.8148361,304105.0,12948593420946.0,665334.0,677306.859111167,0.381560431451603,118710.31831236,479841.0,2102.0,3.88333333333333,,,15844785.3183124,471180.0,67721.75703059,311118.0,16.60936724,484021776.662792,50.9285393912032
244,2019-12-21,64108698.5,3.74922177849783,95746472.56319728,274756.0,12948593420946.0,594338.25,759089.242038868,0.328549733044562,92345.473466835,432257.0,1800.75,3.516666666666665,,,15337832.9734668,423485.0,56486.59110175,281070.0,12.80407837,409093776.778714,54.5694416816695
245,2019-12-22,64187744.0,1.20170941691038,99947585.93998148,294653.0,12948593420946.0,1543344.0,949499.209792517,0.465031464230959,141805.76463966,518639.0,4265.5,2.98333333333333,,,13758030.7646397,475437.0,152654.86458667,304845.0,18.87107421,1144871677.88131,45.1174690089122
246,2019-12-23,64205581.0,1.49586570892989,98740227.53509024,281423.0,12948593420946.0,2502836.5,730761.017291865,0.443051383501185,128678.07161855,493086.0,6398.0,4.75,,,11525831.9084891,453936.0,105404.34744226,290436.0,17.60848203,770512475.798006,39.6845842405523
247,2019-12-24,64240611.0,1.34736779229091,97340808.474637,237004.0,12948593420946.0,2964679.5,596758.284247587,0.387049227795893,94697.78636791,401735.0,3665.0,2.6500000000000004,,,11634910.2863679,389761.0,119669.63620597,244666.0,13.13196764,863528900.789981,47.5542588114732
248,2019-12-25,64289979.0,2.00997963034845,96857362.73655988,288019.0,12948593420946.0,972001.0,701726.353554965,0.481317785071033,144847.774239277,476783.0,2295.0,2.9,,,15752637.611085,460617.0,108613.41116734,296063.0,18.91209694,783721256.337016,52.3447783979696
249,2019-12-26,64307216.0,1.59536131373448,97839066.68251044,313785.0,12948593420946.0,641193.0,868237.597389785,0.379063082312015,125276.93713638,539658.0,1626.0,3.8333333333333304,,,13514433.1871364,507704.0,117903.8262163,322204.0,17.11633792,847107991.825459,40.8919855219548
250,2019-12-27,64361053.0,2.84894414370098,96827572.57207096,291149.0,12948593420946.0,1458527.75,685635.28338299,0.337749503751344,100746.286225477,490465.0,2728.5,3.51666666666667,,,13698700.7384132,467820.0,65887.9557732,298287.0,13.80390964,480834303.778861,45.9245650612103
251,2019-12-28,64438034.5,3.75529837025989,94344814.30099218,273726.0,12948593420946.0,448288.0,562316.944862384,0.330879762885612,92621.517625755,449701.0,1379.0,3.85,,,14317659.0176258,429687.0,51871.88810028,279925.0,12.6092473,381265550.855148,51.1481969014049
