Timestamp,estimated-transaction-volume-usd
2019-09-02 00:00:00,1189099299.73989
2019-09-03 00:00:00,1484070470.30013
2019-09-04 00:00:00,1356552610.12157
2019-09-05 00:00:00,1706403125.81051
2019-09-06 00:00:00,2785938242.47131
2019-09-07 00:00:00,920958388.084715
2019-09-08 00:00:00,734442315.886497
2019-09-09 00:00:00,1233969516.75112
2019-09-10 00:00:00,1964047352.89751
2019-09-11 00:00:00,1425043055.21506
2019-09-12 00:00:00,1811962087.02676
2019-09-13 00:00:00,926451075.370118
2019-09-14 00:00:00,550438176.483592
2019-09-15 00:00:00,465077107.456492
2019-09-16 00:00:00,1523428331.69289
2019-09-17 00:00:00,1412330120.98926
2019-09-18 00:00:00,1899700648.3467
2019-09-19 00:00:00,1263814528.24699
2019-09-20 00:00:00,1752366741.2845
2019-09-21 00:00:00,1297619718.14635
2019-09-22 00:00:00,552377407.450051
2019-09-23 00:00:00,855073770.204309
2019-09-24 00:00:00,3139283339.2161
2019-09-25 00:00:00,2087385264.72149
2019-09-26 00:00:00,1313285336.69414
2019-09-27 00:00:00,1158429641.01496
2019-09-28 00:00:00,580178846.7763
2019-09-29 00:00:00,461412848.670824
2019-09-30 00:00:00,1032865548.01648
2019-10-01 00:00:00,1076885942.12558
2019-10-02 00:00:00,753518693.099858
2019-10-03 00:00:00,941153423.813483
2019-10-04 00:00:00,734036334.988344
2019-10-05 00:00:00,375403716.022211
2019-10-06 00:00:00,437929223.289477
2019-10-07 00:00:00,858436648.340689
2019-10-08 00:00:00,951086445.4266
2019-10-09 00:00:00,1063632108.53833
2019-10-10 00:00:00,1061857762.2837
2019-10-11 00:00:00,940680504.466421
2019-10-12 00:00:00,434035291.224281
2019-10-13 00:00:00,358793113.390658
2019-10-14 00:00:00,1712938625.03762
2019-10-15 00:00:00,933447813.563032
2019-10-16 00:00:00,944835135.107188
2019-10-17 00:00:00,1260759811.25633
2019-10-18 00:00:00,1046146449.48076
2019-10-19 00:00:00,393045996.900051
2019-10-20 00:00:00,335445114.082607
2019-10-21 00:00:00,949795298.925235
2019-10-22 00:00:00,996706690.858345
2019-10-23 00:00:00,1296382266.37079
2019-10-24 00:00:00,984320293.086673
2019-10-25 00:00:00,1334170237.65914
2019-10-26 00:00:00,1256366630.61245
2019-10-27 00:00:00,721778043.423887
2019-10-28 00:00:00,1882149479.09526
2019-10-29 00:00:00,1157811408.23295
2019-10-30 00:00:00,933497841.255334
2019-10-31 00:00:00,1573437647.47653
2019-11-01 00:00:00,2074156433.79762
2019-11-02 00:00:00,736867493.36135
2019-11-03 00:00:00,791930340.104973
2019-11-03 23:00:00,1333487928.85567
2019-11-04 23:00:00,2769186824.13713
2019-11-05 23:00:00,1446365892.00296
2019-11-06 23:00:00,1410260957.176
2019-11-07 23:00:00,1458241138.12778
2019-11-08 23:00:00,1046596790.16888
2019-11-09 23:00:00,364320564.190368
2019-11-10 23:00:00,718863061.19166
2019-11-11 23:00:00,865205529.779822
2019-11-12 23:00:00,1486062566.37464
2019-11-13 23:00:00,946450282.515701
2019-11-14 23:00:00,1199132985.11859
2019-11-15 23:00:00,461834641.876112
2019-11-16 23:00:00,342818350.321039
2019-11-17 23:00:00,1043917564.33598
2019-11-18 23:00:00,923399726.065324
2019-11-19 23:00:00,870969121.524629
2019-11-20 23:00:00,1165992114.19976
2019-11-21 23:00:00,1691710108.35354
2019-11-22 23:00:00,1151153475.67428
2019-11-23 23:00:00,544401075.374676
2019-11-24 23:00:00,1313006695.02549
2019-11-25 23:00:00,1179814702.24228
2019-11-26 23:00:00,1513433741.15035
2019-11-27 23:00:00,769525352.625047
2019-11-28 23:00:00,1078007992.31578
2019-11-29 23:00:00,696535295.153311
2019-11-30 23:00:00,410180206.361161
2019-12-01 23:00:00,904057314.823355
2019-12-02 23:00:00,1101171350.2715
2019-12-03 23:00:00,1466498115.73916
2019-12-04 23:00:00,829793365.229581
2019-12-05 23:00:00,1235038809.93875
2019-12-06 23:00:00,842686832.919384
2019-12-07 23:00:00,307899861.771098
2019-12-08 23:00:00,984541456.77168
2019-12-09 23:00:00,1203358979.51588
2019-12-10 23:00:00,960237277.26307
2019-12-11 23:00:00,1259580435.1801
2019-12-12 23:00:00,910737705.988904
2019-12-13 23:00:00,455496983.970829
2019-12-14 23:00:00,331461605.786852
2019-12-15 23:00:00,880428472.303217
2019-12-16 23:00:00,1699726138.74945
2019-12-17 23:00:00,1653840922.56698
2019-12-18 23:00:00,1185600661.7481
2019-12-19 23:00:00,1192218774.49197
2019-12-20 23:00:00,484021776.662792
2019-12-21 23:00:00,409093776.778714
2019-12-22 23:00:00,1144871677.88131
2019-12-23 23:00:00,770512475.798006
2019-12-24 23:00:00,863528900.789981
2019-12-25 23:00:00,783721256.337016
2019-12-26 23:00:00,847107991.825459
2019-12-27 23:00:00,480834303.778861
2019-12-28 23:00:00,381265550.855148
2019-12-29 23:00:00,956242180.526399
2019-12-30 23:00:00,854423855.553621
2019-12-31 23:00:00,278141981.965149
2020-01-01 23:00:00,692062815.85965
2020-01-02 23:00:00,1721171458.46213
2020-01-03 23:00:00,623052159.06369
2020-01-04 23:00:00,355303880.322097
2020-01-05 23:00:00,962060777.656326
2020-01-06 23:00:00,1122651351.86172
2020-01-07 23:00:00,1185786689.98009
2020-01-08 23:00:00,1557053628.83293
2020-01-09 23:00:00,1280612805.31253
2020-01-10 23:00:00,512234137.659831
2020-01-11 23:00:00,451843048.807346
2020-01-12 23:00:00,881745942.082351
2020-01-13 23:00:00,2900956206.90936
2020-01-14 23:00:00,2458672964.83804
2020-01-15 23:00:00,1325748763.69605
2020-01-16 23:00:00,1542090152.48638
2020-01-17 23:00:00,691951125.418206
