Timestamp,n-transactions
2019-10-12 00:00:00,301693
2019-10-13 00:00:00,279487
2019-10-14 00:00:00,304466
2019-10-15 00:00:00,339698
2019-10-16 00:00:00,338473
2019-10-17 00:00:00,334105
2019-10-18 00:00:00,339390
2019-10-19 00:00:00,304736
2019-10-20 00:00:00,289796
2019-10-21 00:00:00,351791
2019-10-22 00:00:00,341464
2019-10-23 00:00:00,349320
2019-10-24 00:00:00,303843
2019-10-25 00:00:00,328598
2019-10-26 00:00:00,305722
2019-10-27 00:00:00,256253
2019-10-28 00:00:00,309611
2019-10-29 00:00:00,307953
2019-10-30 00:00:00,314163
2019-10-31 00:00:00,293779
2019-11-01 00:00:00,316187
2019-11-02 00:00:00,284443
2019-11-03 00:00:00,294367
2019-11-03 23:00:00,310979
2019-11-04 23:00:00,332839
2019-11-05 23:00:00,314698
2019-11-06 23:00:00,324487
2019-11-07 23:00:00,311441
2019-11-08 23:00:00,306163
2019-11-09 23:00:00,299712
2019-11-10 23:00:00,326707
2019-11-11 23:00:00,301382
2019-11-12 23:00:00,318945
2019-11-13 23:00:00,350023
2019-11-14 23:00:00,325145
2019-11-15 23:00:00,283468
2019-11-16 23:00:00,264370
2019-11-17 23:00:00,304671
2019-11-18 23:00:00,327630
2019-11-19 23:00:00,321086
2019-11-20 23:00:00,323954
2019-11-21 23:00:00,310539
2019-11-22 23:00:00,306424
2019-11-23 23:00:00,267368
2019-11-24 23:00:00,279470
2019-11-25 23:00:00,321310
2019-11-26 23:00:00,317597
2019-11-27 23:00:00,309623
2019-11-28 23:00:00,311290
2019-11-29 23:00:00,277458
2019-11-30 23:00:00,274621
2019-12-01 23:00:00,314730
2019-12-02 23:00:00,336512
2019-12-03 23:00:00,337284
2019-12-04 23:00:00,311468
2019-12-05 23:00:00,315386
2019-12-06 23:00:00,285284
2019-12-07 23:00:00,278853
2019-12-08 23:00:00,313629
2019-12-09 23:00:00,320064
2019-12-10 23:00:00,291248
2019-12-11 23:00:00,311795
2019-12-12 23:00:00,322888
2019-12-13 23:00:00,293496
2019-12-14 23:00:00,263441
2019-12-15 23:00:00,327085
2019-12-16 23:00:00,319254
2019-12-17 23:00:00,314249
2019-12-18 23:00:00,319555
2019-12-19 23:00:00,332657
2019-12-20 23:00:00,311118
2019-12-21 23:00:00,281070
2019-12-22 23:00:00,304845
2019-12-23 23:00:00,290436
2019-12-24 23:00:00,244666
2019-12-25 23:00:00,296063
2019-12-26 23:00:00,322204
2019-12-27 23:00:00,298287
2019-12-28 23:00:00,279925
2019-12-29 23:00:00,324497
2019-12-30 23:00:00,293447
2019-12-31 23:00:00,251735
2020-01-01 23:00:00,295567
2020-01-02 23:00:00,316517
2020-01-03 23:00:00,287215
2020-01-04 23:00:00,287779
2020-01-05 23:00:00,299146
2020-01-06 23:00:00,344079
2020-01-07 23:00:00,318019
2020-01-08 23:00:00,322057
2020-01-09 23:00:00,330734
2020-01-10 23:00:00,309070
2020-01-11 23:00:00,283136
2020-01-12 23:00:00,291597
2020-01-13 23:00:00,346953
2020-01-14 23:00:00,332658
2020-01-15 23:00:00,325947
2020-01-16 23:00:00,323992
2020-01-17 23:00:00,287237
2020-01-18 23:00:00,283960
2020-01-19 23:00:00,313661
2020-01-20 23:00:00,315210
2020-01-21 23:00:00,328586
2020-01-22 23:00:00,329918
2020-01-23 23:00:00,313887
2020-01-24 23:00:00,285584
2020-01-25 23:00:00,261247
2020-01-26 23:00:00,279240
2020-01-27 23:00:00,340052
2020-01-28 23:00:00,340562
2020-01-29 23:00:00,332558
2020-01-30 23:00:00,334434
2020-01-31 23:00:00,303724
2020-02-01 23:00:00,290879
2020-02-02 23:00:00,331012
2020-02-03 23:00:00,309190
2020-02-04 23:00:00,368604
2020-02-05 23:00:00,315370
2020-02-06 23:00:00,334938
2020-02-07 23:00:00,318363
2020-02-08 23:00:00,317070
2020-02-09 23:00:00,298104
2020-02-10 23:00:00,365583
2020-02-11 23:00:00,344615
2020-02-12 23:00:00,340081
2020-02-13 23:00:00,326078
2020-02-14 23:00:00,322721
2020-02-15 23:00:00,292236
2020-02-16 23:00:00,341491
2020-02-17 23:00:00,331050
2020-02-18 23:00:00,334805
2020-02-19 23:00:00,316626
2020-02-20 23:00:00,338484
2020-02-21 23:00:00,304597
2020-02-22 23:00:00,285579
2020-02-23 23:00:00,328890
2020-02-24 23:00:00,334593
2020-02-25 23:00:00,329967
2020-02-26 23:00:00,338781
2020-02-27 23:00:00,368590
2020-02-28 23:00:00,307527
2020-02-29 23:00:00,309849
2020-03-01 23:00:00,342821
2020-03-02 23:00:00,342324
2020-03-03 23:00:00,358745
2020-03-04 23:00:00,349529
2020-03-05 23:00:00,338383
2020-03-06 23:00:00,313312
2020-03-07 23:00:00,302694
2020-03-09 00:00:00,348211
