Timestamp,transaction-fees
2019-09-14 00:00:00,21.0247188
2019-09-15 00:00:00,18.2430038
2019-09-16 00:00:00,29.25867219
2019-09-17 00:00:00,34.64137449
2019-09-18 00:00:00,34.12588668
2019-09-19 00:00:00,36.54501485
2019-09-20 00:00:00,32.03804814
2019-09-21 00:00:00,23.40048063
2019-09-22 00:00:00,20.52728871
2019-09-23 00:00:00,32.19540269
2019-09-24 00:00:00,38.46150022
2019-09-25 00:00:00,42.82475804
2019-09-26 00:00:00,32.64172934
2019-09-27 00:00:00,34.26327785
2019-09-28 00:00:00,23.16487157
2019-09-29 00:00:00,21.00156166
2019-09-30 00:00:00,41.0132903
2019-10-01 00:00:00,48.26497357
2019-10-02 00:00:00,37.20021491
2019-10-03 00:00:00,37.88399226
2019-10-04 00:00:00,27.80367596
2019-10-05 00:00:00,19.14811395
2019-10-06 00:00:00,16.49098962
2019-10-07 00:00:00,24.7041595
2019-10-08 00:00:00,27.65920023
2019-10-09 00:00:00,30.36615188
2019-10-10 00:00:00,33.46657648
2019-10-11 00:00:00,27.83013723
2019-10-12 00:00:00,20.76242438
2019-10-13 00:00:00,16.18085575
2019-10-14 00:00:00,23.82030921
2019-10-15 00:00:00,25.89458072
2019-10-16 00:00:00,29.13647841
2019-10-17 00:00:00,25.40381954
2019-10-18 00:00:00,24.94346328
2019-10-19 00:00:00,18.30723571
2019-10-20 00:00:00,15.84344804
2019-10-21 00:00:00,20.63255238
2019-10-22 00:00:00,22.21592037
2019-10-23 00:00:00,31.07041069
2019-10-24 00:00:00,28.9599249
2019-10-25 00:00:00,36.08670023
2019-10-26 00:00:00,47.8563533
2019-10-27 00:00:00,33.97050101
2019-10-28 00:00:00,37.98415405
2019-10-29 00:00:00,35.47022733
2019-10-30 00:00:00,33.65141019
2019-10-31 00:00:00,35.46517509
2019-11-01 00:00:00,40.18774408
2019-11-02 00:00:00,27.69024942
2019-11-03 00:00:00,26.0661656
2019-11-03 23:00:00,48.28785176
2019-11-04 23:00:00,43.73232482
2019-11-05 23:00:00,38.66539842
2019-11-06 23:00:00,39.73640604
2019-11-07 23:00:00,40.88879104
2019-11-08 23:00:00,29.44260954
2019-11-09 23:00:00,23.86642196
