Timestamp,hash-rate
2019-04-22 00:00:00,46358030.73889049
2019-04-23 00:00:00,45820575.06684861
2019-04-24 00:00:00,44471034.32044647
2019-04-25 00:00:00,45559736.86760462
2019-04-26 00:00:00,45246724.34261103
2019-04-27 00:00:00,45158438.97473423
2019-04-28 00:00:00,45391928.680547185
2019-04-29 00:00:00,45431648.326710105
2019-04-30 00:00:00,46740007.61317942
2019-05-01 00:00:00,47822787.712326445
2019-05-02 00:00:00,48183714.41204212
2019-05-03 00:00:00,50033463.748084925
2019-05-04 00:00:00,50078579.58554938
2019-05-05 00:00:00,50041434.90466356
2019-05-06 00:00:00,48827339.21153388
2019-05-07 00:00:00,48660338.77343285
2019-05-08 00:00:00,48388716.86425585
2019-05-09 00:00:00,47908384.96530409
2019-05-10 00:00:00,46746356.701584496
2019-05-11 00:00:00,45838154.26510411
2019-05-12 00:00:00,45881810.26580111
2019-05-13 00:00:00,47262072.19288433
2019-05-14 00:00:00,48023596.01472336
2019-05-15 00:00:00,49213476.98634683
2019-05-16 00:00:00,49070691.26975202
2019-05-17 00:00:00,48880310.31429226
2019-05-18 00:00:00,50117786.52478065
2019-05-19 00:00:00,51214225.9653176
2019-05-20 00:00:00,51455052.94267094
2019-05-21 00:00:00,51172297.31357709
2019-05-22 00:00:00,51222568.440806344
2019-05-23 00:00:00,52082203.48126961
2019-05-24 00:00:00,52656109.68334536
2019-05-25 00:00:00,52753976.04943956
2019-05-26 00:00:00,52135937.52285268
2019-05-27 00:00:00,52231162.979515426
2019-05-28 00:00:00,52516839.34950365
2019-05-29 00:00:00,53040579.36114874
2019-05-30 00:00:00,53373868.45946836
2019-05-31 00:00:00,53517351.45539473
2019-06-01 00:00:00,52430641.24589244
2019-06-02 00:00:00,53764035.52740503
2019-06-03 00:00:00,52847618.05786448
2019-06-04 00:00:00,51200279.00599987
2019-06-05 00:00:00,51549891.838974856
2019-06-06 00:00:00,51741225.45146676
2019-06-07 00:00:00,52391955.68991893
2019-06-08 00:00:00,54563917.45259504
2019-06-09 00:00:00,53133601.16985711
2019-06-10 00:00:00,53981196.00407218
2019-06-11 00:00:00,55994233.735332966
2019-06-12 00:00:00,55411512.28681011
2019-06-13 00:00:00,53875246.649795294
2019-06-14 00:00:00,53557398.58696465
2019-06-15 00:00:00,54082274.336697936
2019-06-16 00:00:00,55195584.69039007
2019-06-17 00:00:00,54248595.791119
2019-06-18 00:00:00,52929712.9352346
2019-06-19 00:00:00,53931003.7069991
2019-06-20 00:00:00,56304637.073356576
2019-06-21 00:00:00,55882395.93446342
2019-06-22 00:00:00,53985662.65170728
2019-06-23 00:00:00,53722574.62708882
2019-06-24 00:00:00,56406072.478197075
2019-06-25 00:00:00,58721247.09483949
2019-06-26 00:00:00,57826747.81113673
2019-06-27 00:00:00,57195336.55205244
2019-06-28 00:00:00,57552683.326542154
2019-06-29 00:00:00,59739282.95366377
2019-06-30 00:00:00,62124770.894167006
2019-07-01 00:00:00,61165896.33218028
2019-07-02 00:00:00,59910359.246711925
2019-07-03 00:00:00,61131189.48583867
2019-07-04 00:00:00,62141158.69857856
2019-07-05 00:00:00,63617010.31623936
2019-07-06 00:00:00,65082061.040971175
2019-07-07 00:00:00,65307453.46016069
2019-07-08 00:00:00,65363801.56495808
2019-07-09 00:00:00,67335985.2328663
2019-07-10 00:00:00,67824437.5975305
2019-07-11 00:00:00,66436142.99143573
2019-07-12 00:00:00,65329588.90932785
2019-07-13 00:00:00,65236285.666382276
2019-07-14 00:00:00,64282328.42397339
2019-07-15 00:00:00,64994549.13232233
2019-07-16 00:00:00,64362436.05344267
2019-07-17 00:00:00,65398734.02913992
2019-07-18 00:00:00,65656209.359963305
2019-07-19 00:00:00,65141258.69831654
2019-07-20 00:00:00,62180292.39384761
2019-07-21 00:00:00,64497570.37125807
2019-07-22 00:00:00,64755045.70208144
2019-07-23 00:00:00,65527471.694551595
2019-07-24 00:00:00,64272984.39400614
2019-07-25 00:00:00,64609474.12206306
2019-07-26 00:00:00,66422512.06746267
2019-07-27 00:00:00,69452834.29261255
2019-07-28 00:00:00,67789239.82918885
2019-07-29 00:00:00,69400228.24262594
2019-07-30 00:00:00,69983819.38224606
2019-07-31 00:00:00,69900133.59643504
2019-08-01 00:00:00,71948489.15970053
2019-08-02 00:00:00,71436400.26888414
2019-08-03 00:00:00,71628433.60294029
2019-08-04 00:00:00,72972666.94133326
2019-08-05 00:00:00,72460578.05051687
2019-08-06 00:00:00,71750336.91595864
2019-08-07 00:00:00,74077368.96597402
2019-08-08 00:00:00,73980793.82469277
2019-08-09 00:00:00,74960524.08975092
2019-08-10 00:00:00,74566507.44960831
2019-08-11 00:00:00,74200088.84510116
2019-08-12 00:00:00,74359558.14922811
2019-08-13 00:00:00,73747045.0713431
2019-08-14 00:00:00,73463402.59029946
2019-08-15 00:00:00,73392491.97003856
2019-08-16 00:00:00,74456151.27395216
2019-08-17 00:00:00,74456151.27395216
2019-08-18 00:00:00,72825207.0079513
2019-08-19 00:00:00,70938762.01502919
2019-08-20 00:00:00,73295435.91895369
2019-08-21 00:00:00,73227077.85694617
2019-08-22 00:00:00,72283871.86080375
2019-08-23 00:00:00,71347701.30319194
2019-08-24 00:00:00,71988449.4437935
2019-08-25 00:00:00,74482723.32512145
2019-08-26 00:00:00,76729088.15301372
2019-08-27 00:00:00,74848827.74587108
2019-08-28 00:00:00,73547109.00246462
2019-08-29 00:00:00,74631874.62197
2019-08-30 00:00:00,76367499.6131786
2019-08-31 00:00:00,76873723.56894776
