,Open,High,Low,Close,Volume,date,Quote_asset_volume,Number_of_trades,Taker_buy_volume,Taker_buy_quote_asset_volume,daily_return,price_vol,log_price,volumn_pct,Close_shift_1,Close_shift_2,Close_shift_3
0,131.45,140.67,130.0,139.1,401776.88797,2019-01-01,54280385.598127,125799,204877.27101,27658986.5487891,0.05819703309243063,0.08117154811715473,4.935193098929397,,,,
1,139.1,155.37,137.76,152.01,941486.31524,2019-01-02,138801471.1186518,253070,452778.41302,66826091.4154906,0.09281092739036656,0.12659956865564354,5.023946308155928,1.3433063061365025,139.1,,
2,152.01,153.64,143.11,146.3,708091.31714,2019-01-03,104953535.1485126,206600,345065.32126,51146898.6190388,-0.03756331820274972,0.06927175843694476,4.9856593080260785,-0.24790057414748912,152.01,139.1,
3,146.3,154.8,143.54,151.97,805248.93821,2019-01-04,120827141.5442279,224385,398803.89556,59878325.5278251,0.03875598086124388,0.07696514012303499,5.023683132945513,0.13721058106237227,146.3,152.01,139.1
4,152.08,159.26,151.2,152.83,773169.13736,2019-01-05,120238339.7822187,231172,383106.49462,59615248.3448727,0.0049316149395055575,0.05299842188321937,5.029326192539745,-0.03983836466932911,151.97,146.3,152.01
5,152.83,157.4,147.51,153.86,627908.47366,2019-01-06,95681339.4600648,204337,318359.8694,48525641.3337721,0.0067395144932278495,0.06471242557089586,5.036043098030789,-0.18787695561154338,152.83,151.97,146.3
6,153.89,155.48,147.86,149.34,424765.30258,2019-01-07,64310962.9190328,157568,205545.31494,31132597.0580687,-0.029566573526544793,0.04951588797192785,5.006225585607556,-0.3235235382250917,153.86,152.83,151.97
7,149.29,151.65,145.2,147.6,441661.06778,2019-01-08,65535529.7557393,170585,220205.8156,32665110.2813971,-0.011320249179449404,0.04320450130618272,4.994505912166372,0.039776707507360065,149.34,153.86,152.83
8,147.62,151.5,146.77,148.1,299443.563,2019-01-09,44673066.391582,125358,154466.46066,23055106.0669205,0.003251591925213404,0.03204172876304017,4.997887721273753,-0.32200597959619404,147.6,149.34,153.86
9,148.11,149.45,121.0,124.95,871751.75038,2019-01-10,114437025.2827277,290765,432162.78581,56667564.7779082,-0.156370265343326,0.19208696239281606,4.827913657280962,1.9112389047414586,148.1,147.6,149.34
10,124.96,127.36,120.08,124.65,545293.98369,2019-01-11,67782816.3375987,197047,286390.42731,35610799.2804517,-0.002480793854033214,0.05825864276568503,4.825509809969567,-0.37448478485726666,124.95,148.1,147.6
11,124.67,126.19,122.0,123.35,300262.13404,2019-01-12,37295866.3538343,122024,159060.66029,19774152.7462819,-0.010587952193791716,0.03360872703938395,4.815025842975365,-0.4493573319695763,124.65,124.95,148.1
12,123.35,124.25,111.87,114.16,422561.96777,2019-01-13,49521201.2764662,137005,228755.00345,26767549.3199914,-0.07450344548034049,0.10036481556546409,4.737600973168581,0.4073102128612316,123.35,124.65,124.95
13,114.17,130.05,113.94,126.95,546420.40854,2019-01-14,66801543.3050366,181074,283172.06565,34555073.9481497,0.1119383375667864,0.14110536918630126,4.843793308150688,0.2931130821442407,114.16,123.35,124.65
14,126.95,129.4,116.0,118.95,649020.5297,2019-01-15,79985529.5587708,200989,323384.20597,39784995.5736818,-0.0630169358014967,0.10555336746750693,4.778703236748966,0.18776773260380386,126.95,114.16,123.35
