date,open,high,low,close,volume,position,value,cash
2021-11-01 11:59:59,60663.11,62543.58,60312.53,61881.04,75066.445,0.0,100.0,100.0
2021-11-01 17:59:59,61881.04,62258.0,60752.73,60820.0,51447.701,0.0,100.0,100.0
2021-11-01 23:59:59,60820.0,61500.0,60376.0,60942.87,43650.356,0.0,100.0,100.0
2021-11-02 05:59:59,60942.87,61855.0,60659.58,61813.34,43114.484,0.0,100.0,100.0
2021-11-02 11:59:59,61813.34,63692.17,61417.81,62989.67,72485.781,0.0,100.0,100.0
2021-11-02 17:59:59,62989.66,64349.55,62982.68,63541.09,66411.43,0.0,100.0,100.0
2021-11-02 23:59:59,63541.09,63748.99,62651.35,63266.69,35580.367,0.0,100.0,100.0
2021-11-03 05:59:59,63266.69,63613.0,62777.97,63087.12,31525.13,0.0,100.0,100.0
2021-11-03 11:59:59,63087.12,63576.18,62836.76,63175.6,32088.641,0.0,100.0,100.0
2021-11-03 17:59:59,63175.59,63201.97,61623.56,62520.01,78290.584,0.0,100.0,100.0
2021-11-03 23:59:59,62520.02,63431.07,60300.0,62946.45,69285.828,0.0,100.0,100.0
2021-11-04 05:59:59,62946.45,63149.0,62237.0,62447.08,28424.151,0.0,100.0,100.0
2021-11-04 11:59:59,62447.08,62722.0,61300.0,61508.56,52919.52,0.0,100.0,100.0
2021-11-04 17:59:59,61511.34,62414.62,60800.0,60915.0,70472.062,0.0,100.0,100.0
2021-11-04 23:59:59,60915.01,61583.77,60703.0,61431.86,32861.346,0.0,100.0,100.0
2021-11-05 05:59:59,61433.9,62389.31,60863.62,62223.25,37110.759,0.0,100.0,100.0
2021-11-05 11:59:59,62223.25,62671.48,61235.0,61311.01,42560.51,0.0,100.0,100.0
2021-11-05 17:59:59,61311.03,62000.0,60762.0,61034.1,51950.707,0.0,100.0,100.0
2021-11-05 23:59:59,61033.41,61500.0,60781.39,61006.0,25947.661,0.0,100.0,100.0
2021-11-06 05:59:59,61006.0,61549.9,60863.69,61478.74,24056.285,0.0,100.0,100.0
2021-11-06 11:59:59,61478.75,61645.75,60155.0,60391.29,63406.219,0.0,100.0,100.0
2021-11-06 17:59:59,60391.28,60928.45,60100.0,60752.76,40246.35,0.0,100.0,100.0
2021-11-06 23:59:59,60752.76,61534.83,60720.0,61511.3,27210.264,0.0,100.0,100.0
2021-11-07 05:59:59,61511.3,62424.17,61368.26,61991.28,38883.746,0.0,100.0,100.0
2021-11-07 11:59:59,61991.28,62400.0,61528.0,61957.18,35349.386,0.0,100.0,100.0
2021-11-07 17:59:59,61957.18,62558.61,61750.0,62489.79,32214.115,0.0,100.0,100.0
2021-11-07 23:59:59,62489.8,63377.58,62114.09,63316.4,36430.961,0.0,100.0,100.0
2021-11-08 05:59:59,63316.4,65770.1,63308.7,65486.47,88054.467,0.0,100.0,100.0
2021-11-08 11:59:59,65486.48,66499.0,65415.1,66095.2,63883.211,0.0,100.0,100.0
2021-11-08 17:59:59,66098.0,66644.13,65235.51,66031.95,66981.06,0.0,100.0,100.0
2021-11-08 23:59:59,66031.94,67932.89,65614.69,67606.96,56013.408,0.0,100.0,100.0
2021-11-09 05:59:59,67606.96,68675.16,67174.1,68150.04,60827.259,0.0,100.0,100.0
2021-11-09 11:59:59,68150.03,68300.0,67401.83,67679.34,44485.284,0.0,100.0,100.0
2021-11-09 17:59:59,67679.34,68182.99,66300.0,66901.61,85807.622,0.0,100.0,100.0
2021-11-09 23:59:59,66901.6,67846.22,66405.77,67009.98,40723.669,0.0,100.0,100.0
2021-11-10 05:59:59,67010.65,67453.98,66326.0,66410.42,34368.737,0.0,100.0,100.0
2021-11-10 11:59:59,66410.42,67186.0,66300.0,66609.29,33841.328,0.0,100.0,100.0
2021-11-10 17:59:59,66609.28,69198.7,65850.0,68714.85,103786.76,0.0,100.0,100.0
2021-11-10 23:59:59,68714.85,68729.34,62400.51,64920.13,175838.748,0.0,100.0,100.0
2021-11-11 05:59:59,64920.13,65138.87,64147.12,64712.46,49843.044,0.0,100.0,100.0
2021-11-11 11:59:59,64712.45,65646.98,64501.0,65306.02,47312.538,0.0,100.0,100.0
2021-11-11 17:59:59,65304.45,65553.67,64450.0,64976.84,56214.686,0.0,100.0,100.0
2021-11-11 23:59:59,64976.84,65364.41,64625.0,64831.3,24909.007,0.0,100.0,100.0
2021-11-12 05:59:59,64831.2,65500.0,64105.0,64748.04,40800.631,0.0,100.0,100.0
2021-11-12 11:59:59,64748.04,65000.0,63558.61,63810.23,76234.646,0.0,100.0,100.0
2021-11-12 17:59:59,63810.23,64258.84,62313.0,63613.99,105967.636,0.0,100.0,100.0
2021-11-12 23:59:59,63614.98,64577.63,63557.88,64156.08,41573.412,0.0,100.0,100.0
2021-11-13 05:59:59,64156.08,64490.0,63555.36,63653.06,25208.453,0.0,100.0,100.0
2021-11-13 11:59:59,63653.06,64178.6,63430.01,63605.51,23784.727,0.0,100.0,100.0
2021-11-13 17:59:59,63605.52,65073.24,63462.63,64712.54,46153.867,0.0,100.0,100.0
2021-11-13 23:59:59,64712.53,64751.01,63842.37,64427.0,29319.446,0.0,100.0,100.0
2021-11-14 05:59:59,64426.99,65400.0,64426.99,64935.13,34347.948,0.0,100.0,100.0
2021-11-14 11:59:59,64935.12,65190.0,64103.0,64479.06,31994.834,0.0,100.0,100.0
2021-11-14 17:59:59,64479.07,64832.74,63640.0,64240.0,43870.502,0.0,100.0,100.0
2021-11-14 23:59:59,64239.99,65569.99,63871.11,65568.39,36211.417,0.0,100.0,100.0
2021-11-15 05:59:59,65568.38,66255.53,65562.96,65752.37,44957.926,0.0,100.0,100.0
2021-11-15 11:59:59,65752.36,66395.05,65326.39,65800.97,39978.188,0.0,100.0,100.0
2021-11-15 17:59:59,65800.97,65999.26,63903.05,64089.59,75139.168,0.0,100.0,100.0
2021-11-15 23:59:59,64089.6,64376.0,63351.58,63654.49,49951.32,0.0,100.0,100.0
2021-11-16 05:59:59,63654.49,63655.77,60300.0,60979.58,162271.398,0.0,100.0,100.0
2021-11-16 11:59:59,60979.57,61320.58,58397.14,60593.99,158652.749,0.0,100.0,100.0
2021-11-16 17:59:59,60593.87,61423.7,60031.99,60490.71,81748.907,0.0,100.0,100.0
2021-11-16 23:59:59,60490.7,61171.76,59143.03,60106.03,72352.652,0.0,100.0,100.0
2021-11-17 05:59:59,60106.03,60470.1,58571.42,59630.58,86502.636,0.0,100.0,100.0
2021-11-17 11:59:59,59630.58,60848.85,58336.68,60769.01,98801.718,0.0,100.0,100.0
2021-11-17 17:59:59,60769.01,60824.29,59355.0,60256.83,64501.496,-0.005,101.34551979999998,402.6296698
