,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2018-01-02 00:00:00+00:00,754.99000000,899.50000000,749.06000000,855.28000000,113257.78355000,2018-01-02 23:59:59.999000+00:00,95749946.06046560,142511,59298.38305000,50193115.72717760,0
1,2018-01-03 00:00:00+00:00,855.13000000,950.01000000,810.00000000,934.03000000,89041.45688000,2018-01-03 23:59:59.999000+00:00,78173093.71219920,118866,46899.16696000,41196862.55158440,0
2,2018-01-04 00:00:00+00:00,934.03000000,1009.72000000,890.01000000,940.00000000,102894.47384000,2018-01-04 23:59:59.999000+00:00,97740086.59030570,132633,56497.66029000,53871687.77288470,0
3,2018-01-05 00:00:00+00:00,940.00000000,1045.00000000,930.00000000,959.30000000,97374.01630000,2018-01-05 23:59:59.999000+00:00,95739901.47601940,124438,46202.53716000,45538935.01379350,0
4,2018-01-06 00:00:00+00:00,958.00000000,1017.56000000,950.00000000,1004.11000000,71954.27895000,2018-01-06 23:59:59.999000+00:00,71196052.34066790,91685,37424.43173000,37089109.96309390,0
5,2018-01-07 00:00:00+00:00,1003.71000000,1125.00000000,999.90000000,1123.09000000,65278.81957000,2018-01-07 23:59:59.999000+00:00,70126945.17356540,89192,34849.04095000,37476141.63947700,0
6,2018-01-08 00:00:00+00:00,1123.09000000,1239.18000000,910.00000000,1133.18000000,158831.54798000,2018-01-08 23:59:59.999000+00:00,176599793.21126880,171664,80909.60102000,90225877.05144800,0
7,2018-01-09 00:00:00+00:00,1133.18000000,1326.50000000,1104.85000000,1291.00000000,118702.88684000,2018-01-09 23:59:59.999000+00:00,143246762.08456970,152628,63819.94883000,77223073.25931130,0
8,2018-01-10 00:00:00+00:00,1291.00000000,1440.00000000,1201.10000000,1247.00000000,160185.01290000,2018-01-10 23:59:59.999000+00:00,210902815.46883200,191352,80897.55541000,106746349.59623190,0
9,2018-01-11 00:00:00+00:00,1249.03000000,1332.49000000,1021.00000000,1138.93000000,194546.29387000,2018-01-11 23:59:59.999000+00:00,230792205.87537420,210914,90313.17614000,107408785.96097980,0
10,2018-01-12 00:00:00+00:00,1136.45000000,1288.50000000,1069.01000000,1253.87000000,93763.47261000,2018-01-12 23:59:59.999000+00:00,113367281.76511590,117851,47727.57553000,57769541.83741000,0
11,2018-01-13 00:00:00+00:00,1253.87000000,1427.01000000,1252.00000000,1388.02000000,75893.43201000,2018-01-13 23:59:59.999000+00:00,101824625.25840410,115872,40759.98465000,54700348.39273760,0
12,2018-01-14 00:00:00+00:00,1388.10000000,1391.89000000,1220.89000000,1347.00000000,98391.19585000,2018-01-14 23:59:59.999000+00:00,128517479.71604510,124920,49243.39136000,64308202.77234540,0
13,2018-01-15 00:00:00+00:00,1347.99000000,1383.13000000,1258.12000000,1271.00000000,69236.70476000,2018-01-15 23:59:59.999000+00:00,90732886.24105530,105410,32880.54134000,43133689.39779020,0
14,2018-01-16 00:00:00+00:00,1268.67000000,1275.01000000,780.00000000,1000.00000000,343889.36509000,2018-01-16 23:59:59.999000+00:00,355819297.45705260,304696,158932.38241000,165083928.94776610,0
15,2018-01-17 00:00:00+00:00,999.99000000,1075.51000000,755.00000000,1000.00000000,436333.67326000,2018-01-17 23:59:59.999000+00:00,398063123.66295320,391331,215412.88029000,196978642.43245640,0
16,2018-01-18 00:00:00+00:00,1000.00000000,1075.20000000,924.21000000,994.00000000,294545.71207000,2018-01-18 23:59:59.999000+00:00,296964713.70633010,278162,148139.91520000,149318397.09766870,0
17,2018-01-19 00:00:00+00:00,993.30000000,1079.00000000,941.00000000,1032.50000000,167954.11253000,2018-01-19 23:59:59.999000+00:00,171217738.31622490,171662,87251.78210000,89102808.30262310,0
18,2018-01-20 00:00:00+00:00,1032.50000000,1165.40000000,1031.00000000,1152.75000000,123352.58362000,2018-01-20 23:59:59.999000+00:00,137333158.12837540,139129,59469.51440000,66105659.55948060,0
19,2018-01-21 00:00:00+00:00,1150.37000000,1152.69000000,998.00000000,1049.00000000,175031.00789000,2018-01-21 23:59:59.999000+00:00,186353755.57316150,189013,84495.91903000,90104698.15086040,0
20,2018-01-22 00:00:00+00:00,1049.00000000,1090.15000000,908.00000000,993.00000000,185212.52002000,2018-01-22 23:59:59.999000+00:00,185276703.38114570,200594,85196.91919000,85315603.86565530,0
21,2018-01-23 00:00:00+00:00,993.00000000,1030.00000000,909.00000000,980.00000000,160159.63958000,2018-01-23 23:59:59.999000+00:00,156053774.30993190,188114,77990.78030000,76164110.43130360,0
